Posting Date,Canceled,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Ref. No.,Item No.,Item/Service Description,Quantity,UoM Code,Price,Row Total
01.10.2022,N,UVM0001,MUA HIN POULTRY FARM PTE LTD,1531936,CMIJ03-01,CHICKEN- MID JOINT 30gm (PERDIGAO) 1kgX16pkt,320,Manual,5,"1,600.00"
01.10.2022,N,UVM0001,MUA HIN POULTRY FARM PTE LTD,1531936,CWIN05-04,CHICKEN WING 120GMUP / 120-150gm UP (PD/SEARA/AVIA)15kg/ctn,30,Manual,46.5,"1,395.00"
01.10.2022,N,UVT0021,T&L INDUSTRIES PTE LTD,105628,FRS001-05,FISH- RED SNAPPER FISH HEAD FROZEN 5nos/ctns,2,Manual,14.5,29
01.10.2022,N,UVO0004,OJJ FOODS PTE LTD,22167697,PLOI10,PORK LOIN MINCED / TRIMMING,700,Manual,2.5,"1,750.00"
01.10.2022,N,UVO0004,OJJ FOODS PTE LTD,22167697,PTRI02,PORK TRIMMING FRESH,200,Manual,3,600
01.10.2022,Y,UVQ0005,QUALITY MEAT PTE LTD,22-034269,OFF002-04,OTHER- F.FRIES SHOESTRING GP 12X1KG/CTNS,500,Manual,2.5,"1,250.00"
01.10.2022,C,UVQ0005,QUALITY MEAT PTE LTD,22-034269,OFF002-04,OTHER- F.FRIES SHOESTRING GP 12X1KG/CTNS,500,Manual,2.5,"1,250.00"
01.10.2022,N,UVQ0005,QUALITY MEAT PTE LTD,22-034269,OFF002-02,OTHER- F.FRIES SHOESTRING (GARDEN MAID) 10X1KG/CTNS,500,Manual,2.5,"1,250.00"
01.10.2022,N,UVS0058,SUNRISE FOOD PTE LTD,22/805454,ORM008,OTHER- INSTANT NOODLES - E ZEE,10,Manual,17,170
01.10.2022,N,UVS0058,SUNRISE FOOD PTE LTD,22/805454,OOI006-01,OTHER- WHITE ROCK SUGAR 3KG/PKT,1,Manual,5.5,5.5
01.10.2022,N,UVP0016,PREMIER FOODS ASIA PTE LTD,15902,CKAD01,CHICKEN KATSUDON 14pcs 1kgX10pkt,200,Manual,7.1,"1,420.00"
01.10.2022,N,UVS0005,SONG FISH DEALER PTE LTD,22100188,FBA001-01,FISH- WHOLE BATANG 2-3 FRESH - CLEAN & GUTTER,84.2,Manual,6.8,572.56
01.10.2022,N,UVS0005,SONG FISH DEALER PTE LTD,22100188,FBA001-02,FISH- WHOLE BATANG 3/4KG (NSW-LH),5.3,Manual,6.8,36.04
01.10.2022,N,UVG0016,GOLD HOG SUPPLY PTE LTD,121396,MBL003,LAMB SHOULDER B/LESS OYSTER TUBED,133.76,Manual,15,"2,006.40"
01.10.2022,N,UVG0025,GOURMET CHEFS PTE LTD,73,OSA005-03,OTHER- PORK SAUSAGE 6INCH 20X1KG/CTNS,20,Manual,7,140
01.10.2022,N,UVI0011,ISMY PTE LTD,2210-37568,SQU006-04,SEAFOOD- SOTONG FLOWER 1kgX10pkt,630,Manual,3.2,"2,016.00"
01.10.2022,Y,UVA0019,AMAX FOODS PTE LTD,815969,MFL004-02,MUTTON- LAMB FLAP BONE (WOODWARD),960,Manual,9.6,"9,216.00"
01.10.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,TGPAN0906,FSF001-06,FISH- SUTCHI FILLET 170-220gm 6KG/CTNS,800,Manual,17,"13,600.00"
01.10.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,TGPAN0906,FSF004-08,FISH- SUTCHI FILLET 400-600gm 6kg/ctn (TWIN) DL 478,"1,045.00",Manual,17,"17,765.00"
01.10.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,TGPAN0906,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,700,Manual,15.92,"11,144.00"
01.10.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,TGPAN0906,FSF010-04,FISH- SUTCHI FILLET BUTTERFLY CUT 700-900gm 10/ctns,"3,000.00",Manual,2.88,"8,643.25"
01.10.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,TGPAN0906,FSF010-06,FISH- SUTCHI FILLET BUTTERFLY CUT 900-1000gm 10kg/ctn,"5,000.00",Manual,2.87,"14,344.00"
01.10.2022,N,UVB0006,BEN FOODS (S) PTE LTD,102489235,OFF004-04,OTHER- F.FRIES COATED STRAIGHT CUT 5X2KG/CTNS (FARMCHEF),5,Manual,5.8,29
01.10.2022,N,UVB0006,BEN FOODS (S) PTE LTD,102489510,OED003,OTHER- EDAMAME BEAN (WITHOUT SHELL)  10X1KG/CTNS,50,Manual,2.8,140
01.10.2022,N,UVB0006,BEN FOODS (S) PTE LTD,102489510,OHB002,OTHER- HASH BROWN TRI TATERS (SIMLOT) 2.27kgX6pkt,60,Manual,9.17,550
01.10.2022,N,UVB0006,BEN FOODS (S) PTE LTD,102489510,OFF0010,OTHER- FRIES SWEET POTATO PLATTER (LAMB'S) 1/4' x 1/2',10,Manual,10.8,108
01.10.2022,C,UVA0019,AMAX FOODS PTE LTD,815969,MFL004-02,MUTTON- LAMB FLAP BONE (WOODWARD),960,Manual,9.6,"9,216.00"
01.10.2022,N,USVJ0005,JURONG FOOD HUB MCST 3724,4180,,UNIT NO #02-10 @JURONG FOOD HUB MGT FUND 1/10-31/12/22 68 SHARES @$6.5 PER SHARE PER MTH $442 X 3MTH,0,,"1,325.96","1,326.00"
01.10.2022,N,USVJ0005,JURONG FOOD HUB MCST 3724,4180,,SINKING FUND 1/10-31/12/22 68 SHARES @$0 SHARE PER X 3 MTH,0,,0,0
01.10.2022,N,USVJ0006,JTC CORPORATION,A3007052 OCT 22,,LAND RENT OCT 22,0,,"7,127.51","7,127.51"
01.10.2022,N,USVJ0006,JTC CORPORATION,A3007052 OCT 22,,SUBLETING FEE-PAN OCEAN,0,,422.27,422.28
01.10.2022,N,USVA0003,ANG KEE COLD STORE PTE LTD,9210028999,,SILVERY POMFRET 10KG  12 PAL   1.10.22  TO  31.10.22,0,,599.98,600
01.10.2022,N,USVA0003,ANG KEE COLD STORE PTE LTD,9210028999,,SHRIMPS 4.5KG  3 PAL   1.10.22  TO  31.10.22,0,,150,150
01.10.2022,N,USVA0003,ANG KEE COLD STORE PTE LTD,9210028999,,FRIMESA PORK FEET 20KG  33 PAL 1.10.22  TO  31.10.22,0,,"1,650.00","1,650.00"
01.10.2022,N,USVA0003,ANG KEE COLD STORE PTE LTD,9210028999,,FRIMESA PORK LEG 25KG  20 PAL 1.10.22  TO  31.10.22,0,,999.99,"1,000.00"
01.10.2022,N,USVM0010,MEAT TRADERS ASSOCIATION (SINGPAPORE),OM_054_23,,MEMBERSHIP SUBSCRIPTION FEE  1/11/22 TO 31/10/22,0,,"1,000.00","1,000.00"
02.10.2022,N,UVK0007,KENDO TRADING PTE LTD,1706732,DUCK01-04,DUCK- HALAL FRESH WHOLE DUCK (3.56kg/pcs),125.1,Manual,5.9,738.09
02.10.2022,N,UVK0007,KENDO TRADING PTE LTD,1706732,DUCK06,DUCK HEAD 5KG/PKT,15.1,Manual,2,30.2
02.10.2022,N,UVT0033,TIONG HIN FISH MERCHANT CO,67817,FSB002-03,FISH- FRESH SEABASS 500-600GM,5.3,Manual,6.9,36.57
02.10.2022,N,UVT0033,TIONG HIN FISH MERCHANT CO,67817,FSB002-03,FISH- FRESH SEABASS 500-600GM,10.3,Manual,6.9,71.07
02.10.2022,N,UVT0033,TIONG HIN FISH MERCHANT CO,67817,FSB002-03,FISH- FRESH SEABASS 500-600GM,15.1,Manual,6.9,104.19
