No,Item No.,Item Description,Foreign Name,In Stock,Qty Ordered by Customers,Item Cost,Last Purchase Price,Last Purchase Date,Country of Origin,Inventory Value,Inventory Item,Item Group,Set G/L Accounts By
43,BFC001,BEEF FATS 25KG/CTNS (OAKEY-AUST),???,0,0,0,3.2,30.05.2023,,0,Yes,BEEF,Item Group
44,BFC002,WAGYU BEEF FATS,?? ???,0,0,0,6,25.01.2022,,0,Yes,BEEF,Item Group
45,BFC003,BEEF FLOSS 2KG/PKT,??? 2KG/PKT,0,0,0,7.8,15.04.2023,,0,Yes,BEEF,Item Group
46,BFC004,BEEF FATS 27.20KG/CTNS (AMG),???,0,0,0,3.3,16.05.2023,,0,Yes,BEEF,Item Group
47,BFC005,BEEF FATS (BEAUVALLET-SA),???,177.51,118.7,0,3.3,29.05.2023,,0,Yes,BEEF,Item Group
48,BFE001,BEEF FEET CUT,???,0,0,0,1,31.03.2022,,0,Yes,BEEF,Item Group
49,BFK001,BEEF CHEEK (SILVERFERN-FROZEN),,0,0,0,14.8,05.06.2023,,0,Yes,BEEF,Item Group
50,BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,??,0,0,0,4,15.05.2023,,0,Yes,BEEF,Item Group
51,BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),,0,0,0,6.84,15.04.2023,,0,Yes,BEEF,Item Group
52,BFQ002,BEEF FOREQUARTER B/LESS (MINERVA-HALAL),,"3,477.96",0,0,4.81,10.05.2023,,0,Yes,BEEF,Item Group
53,BFQ003,BEEF FOREQUARTER B/LESS (COOPERFRIGU-HALAL),,0,0,0,6.2,26.03.2021,,0,Yes,BEEF,Item Group
54,BFQ004,BEEF FOREQUARTER B/LESS (PLENA-HALAL),,0,0,0,6.6,13.07.2021,,0,Yes,BEEF,Item Group
55,BFQ005,BEEF FOREQUARTER B/LESS (BARRA MANSA-HALAL),,0,0,0,4.6,21.01.2019,,0,Yes,BEEF,Item Group
56,BFQ006,BEEF FOREQUARTER B/LESS (GJ-HALAL),,0,0,0,4.5,12.02.2019,,0,Yes,BEEF,Item Group
57,BFT001,BEEF HOCK TENDON (MIVERVA-BRAZIL),??,0,0,0,7.2,27.03.2023,,0,Yes,BEEF,Item Group
58,BFT002,BEEF HOCK TENDON MULTI 18.15kg/ctn,??,0,0,0,11,26.03.2021,,0,Yes,BEEF,Item Group
59,BFT003,BEEF HOCK TENDON MULTI  CUT 4,?? ? 4,228.52,60.31,0,8.8,17.06.2023,,0,Yes,BEEF,Item Group
60,BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),?? QUALITY BEEF,0,0,0,8.2,15.04.2023,,0,Yes,BEEF,Item Group
61,BFT005,BEEF HOCK TENDON (BEAUVALLET/FRIBOI-BRAZIL),,194.53,5.6,0,8.8,03.06.2023,,0,Yes,BEEF,Item Group
62,BFT006,BEEF PADDY WACK (QUALITY BEEF),???,20.49,1.9,0,3,31.05.2023,,0,Yes,BEEF,Item Group
63,BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),???,62.65,0,0,3.2,16.01.2023,,0,Yes,BEEF,Item Group
64,BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),????,"5,072.68",0,0,12.64,21.07.2022,,0,Yes,BEEF,Item Group
65,BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),????,"1,872.21",0,0,13.54,09.09.2022,,0,Yes,BEEF,Item Group
66,BGC003,BEEF- BEEF GOLDEN COIN MUSCLE (SWIFT-USA),????/?????,0,0,0,14,09.12.2021,,0,Yes,BEEF,Item Group
67,BIS001,BISCUITS- CRANBERRY NOUGAT COOKIE 10PCS/PKT 120GM,??????,0,0,0,4.5,06.06.2020,,0,Yes,OTHERS,Item Group
68,BIS002,BISCUITS- DRIED SEAWEED NOUGAT COOKIE 10PCS/PKT 120GM,?????,0,0,0,4.3,12.06.2020,,0,Yes,OTHERS,Item Group
69,BIS003,BISCUITS- YOGURT STRAWBERRY OATMEAL,??????,0,0,0,7.8,17.07.2020,,0,Yes,OTHERS,Item Group
70,BIS004,BISCUITS- OPALA CHOCOLATE CHIPS,??????,0,0,0,1.5,12.06.2020,,0,Yes,OTHERS,Item Group
71,BIS005,BISCUITS- AJISALON,,0,0,0,3.15,12.06.2020,,0,Yes,OTHERS,Item Group
72,BIS006,BISCUITS- SK ALMOND,??,0,0,0,3.15,12.06.2020,,0,Yes,OTHERS,Item Group
73,BIS007,BISCUITS- HERSHEY COOKIES,?????,0,0,0,2.15,12.06.2020,,0,Yes,OTHERS,Item Group
74,BIS008,BISCUITS- TOPOKKI SWEET SPICY ORIGINAL,?????? ??,0,0,0,3.9,12.06.2020,,0,Yes,OTHERS,Item Group
75,BIS009,BISCUITS- BREADY,,0,0,0,1.7,12.06.2020,,0,Yes,OTHERS,Item Group
76,BIS010,BISCUITS- SWEET POTATO,?? ??,0,0,0,3.3,29.07.2020,,0,Yes,OTHERS,Item Group
77,BIS011,BISCUITS- ROASTED ONION,,0,0,0,1.7,12.06.2020,,0,Yes,OTHERS,Item Group
78,BIS012,BISCUITS- HONEY BUTTER CHIPS,???????,0,0,0,1.7,12.06.2020,,0,Yes,OTHERS,Item Group
79,BIS013,BISCUITS- YANYAN TIRAMISU STICK,,0,0,0,1,12.06.2020,,0,Yes,OTHERS,Item Group
80,BIS014,BISCUITS- YANYAN MATCHA STICK,,0,0,0,1,12.06.2020,,0,Yes,OTHERS,Item Group
81,BIS015,BISCUITS- YANYAN BERRIES STICK,,0,0,0,1,12.06.2020,,0,Yes,OTHERS,Item Group
82,BIS016,BISCUITS- SEAWEED KOREAN,????/,0,0,0,1.4,12.06.2020,,0,Yes,OTHERS,Item Group
83,BKI001,BEEF KNUCKLE CHILLED YP (UNION STATION-AUST),??? ??,0,0,0,9.8,08.07.2020,,0,Yes,BEEF,Item Group
84,BKN001,BEEF KNUCKLE CUT 2 SLICED 6MM,??? 1?2 ?6mm 2kg,0,0,0,6.2,22.06.2019,,0,Yes,BEEF,Item Group
85,BKN001-01,BEEF KNUCKLE (MINERVA-BRAZIL),???,258.32,70.63,0,6.9,20.06.2023,,0,Yes,BEEF,Item Group
86,BKN001-02,BEEF KNUCKLE CROSS CUT (CUT 4),?????? (?4),"1,856.52",29.1,0,6.9,20.06.2023,,0,Yes,BEEF,Item Group
87,BKN001-03,BEEF KNUCKLE CUT 2,????2,0,0,0,8,15.06.2023,,0,Yes,BEEF,Item Group
88,BKN001-04,BEEF KNUCKLE (GJ-BRAZIL) 5-6pcs,??? GJ,0,0,0,9.2,27.06.2022,,0,Yes,BEEF,Item Group
89,BKN001-05,BEEF KNUCKLE (FRIBOI-SA),???,0,0,0,8,20.04.2023,,0,Yes,BEEF,Item Group
90,BKN002,BEEF CUBE 5KGX2PKT/CTNS,???,0,5,0,6.2,31.03.2022,,0,Yes,BEEF,Item Group
91,BKN002-01,BEEF CUBE (PRIME MART),,0,0,0,5.2,16.07.2020,,0,Yes,BEEF,Item Group
92,BKN002-02,BEEF CUBE (FOREQUARTER) 2' X 2' 20KG/CTN,??? 2' 20KG/CTN,29.8,0,0,7.2,16.05.2023,,0,Yes,BEEF,Item Group
93,BKN002-03,BEEF CUBE (FOREQUARTER) 3CM X 3CM 5KG/PKT,??? 3CM X 3CM,0,30,0,5.4,15.06.2023,,0,Yes,BEEF,Item Group
94,BKN003,BEEF KNUCKLE CUBE (SADIA) 500GM X20PKT,,0,0,0,5.88,13.11.2022,,0,Yes,BEEF,Item Group
95,BKN004,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,????  BUTHER'S RIDGE,0,0,0,5.88,14.11.2022,,0,Yes,BEEF,Item Group
96,BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,????  BUTHER'S RIDGE,211,0,0,5.3,07.06.2023,,0,Yes,BEEF,Item Group
97,BLI001,BEEF LIVER,??,22.66,35.78,0,2.8,03.06.2023,,0,Yes,BEEF,Item Group
