#,Document Number,Posting Date,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Name,Document Currency,Check Amount,Transfer Amount,Cash Amount,Reference 1,Reference 2,Counter Reference,Remarks,Journal Remarks,Journal Remarks
1796,369123,17.03.2023,UCY0144,YAN XIA CHUAN TONG MIAN JIA,YAN XIA CHUAN TONG MIAN JIA,SGD,0,0,205,36-9123,,,16-Mar,16-Mar,16-Mar
1797,369124,17.03.2023,UCC0144,EVER DRAGON FAMILY RESTAURANT(24 BENDEMEER) ????,EVER DRAGON FAMILY RESTAURANT(24 BENDEMEER) ????,SGD,0,0,95,36-9124,,,16-Mar,16-Mar,16-Mar
1798,369125,17.03.2023,UCC0165,CASH (JESSICA),CASH (JESSICA),SGD,0,0,251,36-9125,,,16-Mar,16-Mar,16-Mar
1799,369126,17.03.2023,UCH0290,HAPPY FOOD,HAPPY FOOD,SGD,0,0,140,36-9126,,,16-Mar,16-Mar,16-Mar
1800,369127,17.03.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,125.8,36-9127,,,16-Mar,16-Mar,16-Mar
1801,369128,17.03.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,69.1,36-9128,,,16-Mar,16-Mar,16-Mar
1802,369129,17.03.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,29.7,36-9129,,,16-Mar,16-Mar,16-Mar
1803,369130,17.03.2023,UCM0285,MIN HO SEAFOOD,MIN HO SEAFOOD,SGD,0,0,130.6,36-9130,,,16-Mar,16-Mar,16-Mar
1804,369131,17.03.2023,UCP0029,PHAN NEE TRADING LLP,PHAN NEE TRADING LLP,SGD,0,0,219.2,36-9131,,,16-Mar,16-Mar,16-Mar
1805,369499,21.03.2023,UCP0137,PHAN33 INVESTMENTS PTE,PHAN33 INVESTMENTS PTE,SGD,0,0,301.3,36-9499,,,20/3 23129963,20/3 23129963,20/3 23129963
1806,369500,21.03.2023,UCB0060,BEDOK PRAWN NOODLE,BEDOK PRAWN NOODLE,SGD,0,0,109,36-9500,,,20-Mar,20-Mar,20-Mar
1807,369501,21.03.2023,UCS0046,SONG JI MIXED VEGTABLES RICE,SONG JI MIXED VEGTABLES RICE,SGD,0,0,212.5,36-9501,,,20-Mar,20-Mar,20-Mar
1808,369502,21.03.2023,UCP0129,PRN MINIMART,PRN MINIMART,SGD,0,0,182.4,36-9502,,,20-Mar,20-Mar,20-Mar
1809,369503,21.03.2023,UCY0144,YAN XIA CHUAN TONG MIAN JIA,YAN XIA CHUAN TONG MIAN JIA,SGD,0,0,50.2,36-9503,,,20-Mar,20-Mar,20-Mar
1810,369504,21.03.2023,UCM0286,MS LEONG PHENG FUN,MS LEONG PHENG FUN,SGD,0,0,141.3,36-9504,,,20/3 23129758,20/3 23129758,20/3 23129758
1811,369505,21.03.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,77.5,36-9505,,,20-Mar,20-Mar,20-Mar
1812,369506,21.03.2023,UCM0286,MS LEONG PHENG FUN,MS LEONG PHENG FUN,SGD,0,0,57,36-9506,,,20-Mar,20-Mar,20-Mar
1813,369507,21.03.2023,UCM0285,MIN HO SEAFOOD,MIN HO SEAFOOD,SGD,0,0,160,36-9507,,,20-Mar,20-Mar,20-Mar
1814,369508,21.03.2023,UCB0001,BAK KUT TEH?CLAYPOT DELIGHT,BAK KUT TEH?CLAYPOT DELIGHT,SGD,0,0,110,36-9508,,,28/2-1/3,28/2-1/3,28/2-1/3
1815,369509,21.03.2023,UCB0002,BAN MIAN (31 J.PORT),BAN MIAN (31 J.PORT),SGD,0,0,46,36-9509,,,18-Mar,18-Mar,18-Mar
1816,369510,21.03.2023,UCA0030,ASERET TRADING,ASERET TRADING,SGD,0,0,77.75,36-9510,,,18-Mar,18-Mar,18-Mar
1817,369511,21.03.2023,UCE0064,EAT IS HOCK (1002 TPY),EAT IS HOCK (1002 TPY),SGD,0,0,32.4,36-9511,,,20-Mar,20-Mar,20-Mar
1818,369512,21.03.2023,UCC0070,CHINESE SZE CHUAN DELIGHT,CHINESE SZE CHUAN DELIGHT,SGD,0,0,86.4,36-9512,,,20-Mar,20-Mar,20-Mar
1819,369513,21.03.2023,UCE0058,EAT IS HOCK (TPY),EAT IS HOCK (TPY),SGD,0,0,108.6,36-9513,,,20-Mar,20-Mar,20-Mar
1820,369514,21.03.2023,UCM0239,MING JI SHAO LA,MING JI SHAO LA,SGD,0,0,148,36-9514,,,20-Mar,20-Mar,20-Mar
1821,369515,21.03.2023,UCT0289,TAY CHEE WEE,TAY CHEE WEE,SGD,0,0,85.3,36-9515,,,20-Mar,20-Mar,20-Mar
1822,369516,21.03.2023,UCC9999,CASH (SHIYUN),CASH (SHIYUN),SGD,0,0,141.8,36-9516,,,20-Mar,20-Mar,20-Mar
1823,369517,21.03.2023,UCC9999,CASH (SHIYUN),CASH (SHIYUN),SGD,0,0,149,36-9517,,,20-Mar,20-Mar,20-Mar
1824,369518,21.03.2023,UCA0121,AH LIM JALAN TUA KONG (64 JOOCHIAT),AH LIM JALAN TUA KONG (64 JOOCHIAT),SGD,0,0,88,36-9518,,,20-Mar,20-Mar,20-Mar
1825,369519,21.03.2023,UCF0036,FENG ZHEN LOR MEE,FENG ZHEN LOR MEE,SGD,0,0,270.5,36-9519,,,20/3 23129699,20/3 23129699,20/3 23129699
1826,369520,21.03.2023,UCF0215,FORTUNE HERBAL SPUP,FORTUNE HERBAL SPUP,SGD,0,0,258.1,36-9520,,,20/3 23129772,20/3 23129772,20/3 23129772
1827,369521,21.03.2023,UCD0035,DING XIANG YUAN PTE LTD,DING XIANG YUAN PTE LTD,SGD,0,0,255.7,36-9521,,,17-Mar,17-Mar,17-Mar
1828,369522,21.03.2023,UCD0025,D AND S MINIMART,D AND S MINIMART,SGD,0,0,132.5,36-9522,,,17-Mar,17-Mar,17-Mar
1829,369523,21.03.2023,UCP0046,POW SING PTE LTD,POW SING PTE LTD,SGD,0,0,2.3,36-9523,,,20-Mar,20-Mar,20-Mar
1830,369524,20.03.2023,UCM0298,MR YAN QIAILONG,MR YAN QIAILONG,SGD,0,106.38,0,36-9524,,,19/3 B.TRANS 23129618,19/3 B.TRANS 23129618,19/3 B.TRANS 23129618
1831,369525,20.03.2023,UCT0127,T&L INDUSTRIES PTE LTD,T&L INDUSTRIES PTE LTD,SGD,0,"25,000.00",0,36-9525,,,JAN B.TRANS,JAN B.TRANS,JAN B.TRANS
1832,369526,21.03.2023,UCP0046,POW SING PTE LTD,POW SING PTE LTD,SGD,0,0,381.2,36-9526,,,19/3 L/P$17.05,19/3 L/P$17.05,19/3 L/P$17.05
1833,369527,20.03.2023,UCN0035,NORTHERN PALACE STEAMBOAT PTE LTD,NORTHERN PALACE STEAMBOAT PTE LTD,SGD,0,"1,597.07",0,36-9527,,,20/3 B.TRANS 23129990,20/3 B.TRANS 23129990,20/3 B.TRANS 23129990
1834,369528,21.03.2023,UCM0200,IPOT PTE LTD (PAYA LEBAR),IPOT PTE LTD (PAYA LEBAR),SGD,0,0,621.3,36-9528,,,20-Mar,20-Mar,20-Mar
1835,369529,21.03.2023,UCW0125,218 MIXED VEG RICE,218 MIXED VEG RICE,SGD,0,0,344.5,36-9529,,,20/3 23130014,20/3 23130014,20/3 23130014
1836,369530,20.03.2023,UCH0137,HOUGANG 309 WESTERN FOOD,HOUGANG 309 WESTERN FOOD,SGD,0,190.4,0,36-9530,,,19/3 B.TRANS 23129546,19/3 B.TRANS 23129546,19/3 B.TRANS 23129546
1837,369531,21.03.2023,UCD0148,DM ABUNDANCE FOOD PTE TLD,DM ABUNDANCE FOOD PTE TLD,SGD,0,0,178.2,36-9531,,,20-Mar,20-Mar,20-Mar
1838,369532,21.03.2023,UCH0169,HAI XIAN ZHI JIA,HAI XIAN ZHI JIA,SGD,0,0,125.3,36-9532,,,20-Mar,20-Mar,20-Mar
1839,365199,08.02.2023,UCB0007,BAN MIAN (UBI),BAN MIAN (UBI),SGD,0,0,82,36-5199,,,7-Feb,7-Feb,7-Feb
1840,365200,08.02.2023,UCL0195,LIM TIAM BOCK,LIM TIAM BOCK,SGD,0,0,83,36-5200,,,7-Feb,7-Feb,7-Feb
1841,365201,08.02.2023,UCC0196,CURRY RICE,CURRY RICE,SGD,0,0,84.2,36-5201,,,7-Feb,7-Feb,7-Feb
1842,365202,08.02.2023,UCM0089,MIN NAN PORK RIB NOODLE,MIN NAN PORK RIB NOODLE,SGD,0,0,122,36-5202,,,7-Feb,7-Feb,7-Feb
1843,365203,08.02.2023,UCT0081,TOP CHOICE MARKETPLACES,TOP CHOICE MARKETPLACES,SGD,0,0,209.3,36-5203,,,7-Feb,7-Feb,7-Feb
1844,365204,08.02.2023,UCY0063,YUAN MAO LAMIAN/FISH SOUP,YUAN MAO LAMIAN/FISH SOUP,SGD,0,0,83.7,36-5204,,,7-Feb,7-Feb,7-Feb
1845,365205,08.02.2023,UCC0051,CHICKEN HOUSE PTE LTD,CHICKEN HOUSE PTE LTD,SGD,0,0,104.3,36-5205,,,7-Feb,7-Feb,7-Feb
1846,365206,08.02.2023,UCC0051,CHICKEN HOUSE PTE LTD,CHICKEN HOUSE PTE LTD,SGD,0,0,22.3,36-5206,,,7-Feb,7-Feb,7-Feb
1847,365207,08.02.2023,UCM0100,MA LA XIANG GUO,MA LA XIANG GUO,SGD,0,0,68,36-5207,,,7-Feb,7-Feb,7-Feb
1848,365208,08.02.2023,UCF0061,FU YUAN CUISINE SQUARE ?????,FU YUAN CUISINE SQUARE ?????,SGD,0,0,136.3,36-5208,,,5-Feb,5-Feb,5-Feb
1849,365209,08.02.2023,UCP0058,PRAWN NOODLE,PRAWN NOODLE,SGD,0,0,205.8,36-5209,,,6-Feb,6-Feb,6-Feb
1850,365210,07.02.2023,UCC0064,MMMM F&B PTE LTD,MMMM F&B PTE LTD,SGD,0,"8,568.23",0,36-5210,,,JAN B.TRANS,JAN B.TRANS,JAN B.TRANS
1851,365211,07.02.2023,UCL0022,IMPERIAL PTE LTD,IMPERIAL PTE LTD,SGD,0,"6,375.04",0,36-5211,,,JAN B.TRANS,JAN B.TRANS,JAN B.TRANS
1852,365212,07.02.2023,UCE0061,FOOD STALL(EATING ESTABLISHMENT),FOOD STALL(EATING ESTABLISHMENT),SGD,0,320.33,0,36-5212,,,19/1-3/2 B.TRANS,19/1-3/2 B.TRANS,19/1-3/2 B.TRANS
1853,365213,07.02.2023,UCW0106,WONDERFUL RESTAURANT PTE LTD,WONDERFUL RESTAURANT PTE LTD,SGD,0,"1,920.84",0,36-5213,,,JAN B.TRANS,JAN B.TRANS,JAN B.TRANS
1854,365214,07.02.2023,UCH0208,HOANG HAU,HOANG HAU,SGD,0,"1,592.34",0,36-5214,,,DEC B.TRANS,DEC B.TRANS,DEC B.TRANS
1855,365215,07.02.2023,USCN0002,NJD TRADING PTE LTD,NJD TRADING PTE LTD,SGD,0,"8,640.00",0,36-5215,,,1/2 B.TRANS 231019,1/2 B.TRANS 231019,1/2 B.TRANS 231019
1856,365216,07.02.2023,USVS0020,UNICO TOTAL SOLUTION PTE LTD,UNICO TOTAL SOLUTION PTE LTD,SGD,0,"10,914.00",0,36-5216,,,DEC B.TRANS,DEC B.TRANS,DEC B.TRANS
1857,365217,07.02.2023,UCF0010,FENG YOU JI MIX VEG RICE (B.BATOK),FENG YOU JI MIX VEG RICE (B.BATOK),SGD,0,801,0,36-5217,,,DEC B.TRANS,DEC B.TRANS,DEC B.TRANS
1858,365218,07.02.2023,UCF0119,FENG YOU JI MIX VEG RICE (SEMBAWANG),FENG YOU JI MIX VEG RICE (SEMBAWANG),SGD,0,"3,254.00",0,36-5218,,,DEC B.TRANS,DEC B.TRANS,DEC B.TRANS
1859,365219,07.02.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,97.9,0,36-5219,,,7/2 B.TRANS 23113546,7/2 B.TRANS 23113546,7/2 B.TRANS 23113546
1860,365220,07.02.2023,UCF0219,FOODSTALL (MA MANAGED FOODSTALL),FOODSTALL (MA MANAGED FOODSTALL),SGD,0,722.52,0,36-5220,,,26/1-3/2 B.TRANS,26/1-3/2 B.TRANS,26/1-3/2 B.TRANS
1861,365221,07.02.2023,UCC0104,CASH (YOUSEN),CASH (YOUSEN),SGD,0,101.09,0,36-5221,,,16/1 B.TRANS 23106322,16/1 B.TRANS 23106322,16/1 B.TRANS 23106322
1862,365222,07.02.2023,UCF0220,FOODSAVVYEMPIRE PTE LTD,FOODSAVVYEMPIRE PTE LTD,SGD,0,"9,173.14",0,36-5222,,,JAN B.TRANS,JAN B.TRANS,JAN B.TRANS
1863,365223,07.02.2023,UCC9999,CASH (SHIYUN),CASH (SHIYUN),SGD,0,117.48,0,36-5223,,,7/2 B.TRANS 23113820,7/2 B.TRANS 23113820,7/2 B.TRANS 23113820
1864,365224,07.02.2023,UCV0011,888 MOOKATA (212 HOUGANG),888 MOOKATA (212 HOUGANG),SGD,0,666.37,0,36-5224,,,JAN B.TRANS,JAN B.TRANS,JAN B.TRANS
1865,365225,07.02.2023,UCV0028,888 MOOKATA (CHANGI),888 MOOKATA (CHANGI),SGD,0,105.3,0,36-5225,,,JAN B.TRANS,JAN B.TRANS,JAN B.TRANS
1866,365226,07.02.2023,UCF0101,FENG YOU JI MIX VEG RICE (803 KEAT HONG),FENG YOU JI MIX VEG RICE (803 KEAT HONG),SGD,0,956,0,36-5226,,,DEC (217),DEC (217),DEC (217)
1867,365227,07.02.2023,UCF0118,FENG YOU JI MIX VEG RICE (COMPASSVALE),FENG YOU JI MIX VEG RICE (COMPASSVALE),SGD,0,"2,113.00",0,36-5227,,,DEC (165),DEC (165),DEC (165)
1868,365229,07.02.2023,UCF0145,FENG YOU JI MIX VEG RICE (AMK),FENG YOU JI MIX VEG RICE (AMK),SGD,0,927,0,36-5229,,,DEC (449),DEC (449),DEC (449)
1869,365230,07.02.2023,UCF0189,FENG YOU JI MIX VEG RICE (YISHUN RING),FENG YOU JI MIX VEG RICE (YISHUN RING),SGD,0,658,0,36-5230,,,DEC (342688),DEC (342688),DEC (342688)
1870,365231,07.02.2023,UCF0087,FENG YOU JI MIX VEG RICE (OASIS),FENG YOU JI MIX VEG RICE (OASIS),SGD,0,"2,453.00",0,36-5231,,,DEC (343),DEC (343),DEC (343)
1871,368739,04.03.2023,UCL0193,LE FOOD SUPPLY PTE LTD,LE FOOD SUPPLY PTE LTD,SGD,0,259.2,0,36-8739,,,FEB B.TRANS,FEB B.TRANS,FEB B.TRANS
1872,368740,09.03.2023,UCJ0159,J.SCHEFFLERA'S PTE LTD,J.SCHEFFLERA'S PTE LTD,SGD,0,799.71,0,36-8740,,,EXTRA PAID FEB,EXTRA PAID FEB,EXTRA PAID FEB
1873,368741,09.03.2023,70100,Other Income,Other Income,SGD,0,913.88,0,36-8741,,,COSCO SHIPPING LINE,COSCO SHIPPING LINE,COSCO SHIPPING LINE
1874,368742,03.02.2023,UCC0206,NUS SCIENCE CANTEEN FRONTIER (STALL 8),NUS SCIENCE CANTEEN FRONTIER (STALL 8),SGD,0,390.05,0,36-8742,,,DEC B.TRANS,DEC B.TRANS,DEC B.TRANS
1875,368743,06.02.2023,UCW0030,HOWLERS PTE LTD,HOWLERS PTE LTD,SGD,0,293.76,0,36-8743,,,"6/2 B.TRANS 23113414,3450","6/2 B.TRANS 23113414,3450","6/2 B.TRANS 23113414,3450"
1876,368744,14.03.2023,UCC0178,CASH (GUI ),CASH (GUI ),SGD,0,0,64.2,36-8744,,,9-Sep,9-Sep,9-Sep
1877,368745,14.03.2023,UCG0065,ZHONG YANG CHU FANG,ZHONG YANG CHU FANG,SGD,0,0,689.4,36-8745,,,14-Mar,14-Mar,14-Mar
1878,368746,14.03.2023,UCC0197,CASH (VIJAY2),CASH (VIJAY2),SGD,0,0,"1,746.90",36-8746,,,30/1-7/3,30/1-7/3,30/1-7/3
1879,368747,14.03.2023,UCG0105,GOLDEN LEAF BRAISED DELIGHT/ KWAY CHAP,GOLDEN LEAF BRAISED DELIGHT/ KWAY CHAP,SGD,0,0,124,36-8747,,,13-Mar,13-Mar,13-Mar
1880,368748,14.03.2023,UCC0178,CASH (GUI ),CASH (GUI ),SGD,0,0,149,36-8748,,,13-Mar,13-Mar,13-Mar
1881,368749,14.03.2023,UCC0178,CASH (GUI ),CASH (GUI ),SGD,0,0,156.6,36-8749,,,13-Mar,13-Mar,13-Mar
1882,368750,14.03.2023,UCM0307,MING SOON HUAT TRADING PTE LTD,MING SOON HUAT TRADING PTE LTD,SGD,0,0,391,36-8750,,,14/3 23127338 14/3 23127338,14/3 23127338,14/3 23127338
1883,368751,14.03.2023,UCS0099,SDK 5475 A,SDK 5475 A,SGD,0,0,92.9,36-8751,,,13-Mar,13-Mar,13-Mar
1884,368752,14.03.2023,UCC0178,CASH (GUI ),CASH (GUI ),SGD,0,0,110.8,36-8752,,,11-Mar,11-Mar,11-Mar
1885,368753,14.03.2023,UCS0000,STAFF OF UNICO,STAFF OF UNICO,SGD,0,0,24,36-8753,,,12-Mar,12-Mar,12-Mar
1886,368754,14.03.2023,UCC0008,CASH,CASH,SGD,0,0,6.5,36-8754,,,11-Mar,11-Mar,11-Mar
1887,368755,14.03.2023,UCC0178,CASH (GUI ),CASH (GUI ),SGD,0,0,13.5,36-8755,,,12-Mar,12-Mar,12-Mar
1888,368756,14.03.2023,UCC0777,CASH ( LIANG ),CASH ( LIANG ),SGD,0,0,155.5,36-8756,,,13-Mar,13-Mar,13-Mar
1889,368757,14.03.2023,UCD0139,DA SHU MALA XIANG GUO,DA SHU MALA XIANG GUO,SGD,0,0,"2,343.60",36-8757,,,2/10/2002,2/10/2002,2/10/2002
1890,368758,14.03.2023,UCT0281,THAI PIG TROTTER,THAI PIG TROTTER,SGD,0,0,382,36-8758,,,28/2-4/3,28/2-4/3,28/2-4/3
1891,368759,14.03.2023,UCT0051,TOM YUM THAI FOODS,TOM YUM THAI FOODS,SGD,0,0,628.5,36-8759,,,28//2-4/3,28//2-4/3,28//2-4/3
1892,368760,14.03.2023,UCX0059,XIANG JI PIG ORGAN SOUP,XIANG JI PIG ORGAN SOUP,SGD,0,0,112.3,36-8760,,,9-Mar,9-Mar,9-Mar
1893,368761,14.03.2023,UCN0081,NIU CHE SHUI FISH BALL NOODLE,NIU CHE SHUI FISH BALL NOODLE,SGD,0,0,85.3,36-8761,,,10-Mar,10-Mar,10-Mar
1894,368762,14.03.2023,UCL0173,LOYANG WAY BIG PRAWN NOODLES PTE LTD,LOYANG WAY BIG PRAWN NOODLES PTE LTD,SGD,0,0,145.8,36-8762,,,10-Mar,10-Mar,10-Mar
1895,368763,14.03.2023,UCB0083,BILLYS AND BROTHERS NOODLE HOUSE,BILLYS AND BROTHERS NOODLE HOUSE,SGD,0,0,48.1,36-8763,,,10/3 23125821,10/3 23125821,10/3 23125821
1896,368764,14.03.2023,UCN0081,NIU CHE SHUI FISH BALL NOODLE,NIU CHE SHUI FISH BALL NOODLE,SGD,0,0,108.6,36-8764,,,11-Mar,11-Mar,11-Mar
1897,368765,14.03.2023,UCL0173,LOYANG WAY BIG PRAWN NOODLES PTE LTD,LOYANG WAY BIG PRAWN NOODLES PTE LTD,SGD,0,0,96,36-8765,,,11-Mar,11-Mar,11-Mar
1898,368766,14.03.2023,UCX0059,XIANG JI PIG ORGAN SOUP,XIANG JI PIG ORGAN SOUP,SGD,0,0,64.8,36-8766,,,11-Mar,11-Mar,11-Mar
1899,368767,14.03.2023,UCN0081,NIU CHE SHUI FISH BALL NOODLE,NIU CHE SHUI FISH BALL NOODLE,SGD,0,0,65.4,36-8767,,,12-Mar,12-Mar,12-Mar
1900,368768,14.03.2023,UCL0173,LOYANG WAY BIG PRAWN NOODLES PTE LTD,LOYANG WAY BIG PRAWN NOODLES PTE LTD,SGD,0,0,54,36-8768,,,13-Mar,13-Mar,13-Mar
1901,368769,14.03.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,0,408,36-8769,,,18-25/2,18-25/2,18-25/2
1902,368770,13.03.2023,UCC0189,CEST LA VIE KITCHEN PTE LTD,CEST LA VIE KITCHEN PTE LTD,SGD,0,249.48,0,36-8770,,,"11/3 B.TRANS 23126418,6421","11/3 B.TRANS 23126418,6421","11/3 B.TRANS 23126418,6421"
1903,368771,13.03.2023,UCT0127,T&L INDUSTRIES PTE LTD,T&L INDUSTRIES PTE LTD,SGD,0,"30,000.00",0,36-8771,,,DEC B.TRANS,DEC B.TRANS,DEC B.TRANS
1904,368772,13.03.2023,UCG0011,GODMAMA PTE LTD,GODMAMA PTE LTD,SGD,0,251.12,0,36-8772,,,27/2 B.TRANS 23120951,27/2 B.TRANS 23120951,27/2 B.TRANS 23120951
1905,361848,06.01.2023,UCB0083,BILLYS AND BROTHERS NOODLE HOUSE,BILLYS AND BROTHERS NOODLE HOUSE,SGD,0,0,39.2,36-1848,,,30/12 22244386,30/12 22244386,30/12 22244386
1906,361849,06.01.2023,UCX0194,XIN MEI NOODLE HOUSE,XIN MEI NOODLE HOUSE,SGD,0,0,77.2,36-1849,,,30-Dec,30-Dec,30-Dec
1907,361850,06.01.2023,UCX0059,XIANG JI PIG ORGAN SOUP,XIANG JI PIG ORGAN SOUP,SGD,0,0,42.8,36-1850,,,30-Dec,30-Dec,30-Dec
1908,361851,06.01.2023,UCL0173,LOYANG WAY BIG PRAWN NOODLES PTE LTD,LOYANG WAY BIG PRAWN NOODLES PTE LTD,SGD,0,0,80.2,36-1851,,,31-Dec,31-Dec,31-Dec
1909,361852,06.01.2023,UCX0194,XIN MEI NOODLE HOUSE,XIN MEI NOODLE HOUSE,SGD,0,0,39.6,36-1852,,,31-Dec,31-Dec,31-Dec
1910,361853,06.01.2023,UCN0081,NIU CHE SHUI FISH BALL NOODLE,NIU CHE SHUI FISH BALL NOODLE,SGD,0,0,95.8,36-1853,,,31/12 22244769,31/12 22244769,31/12 22244769
1911,361854,06.01.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,0,329.55,36-1854,,,2-Dec,2-Dec,2-Dec
1912,361855,06.01.2023,UCB0095,BBQ CHICKEN WING SADIY (??),BBQ CHICKEN WING SADIY (??),SGD,0,0,"1,300.00",36-1855,,,9-18/12,9-18/12,9-18/12
1913,361856,06.01.2023,UCZ0002,ZAI SHUN ZHI CHAR,ZAI SHUN ZHI CHAR,SGD,0,0,"1,095.60",36-1856,,,18-21/12,18-21/12,18-21/12
1914,361857,06.01.2023,UCB0059,BOON LAY HO HUAT FRIED HOKKIEN PRAWN MEE,BOON LAY HO HUAT FRIED HOKKIEN PRAWN MEE,SGD,0,0,242,36-1857,,,17/11-27/12,17/11-27/12,17/11-27/12
1915,361858,06.01.2023,UCB0060,BEDOK PRAWN NOODLE,BEDOK PRAWN NOODLE,SGD,0,0,106.9,36-1858,,,5-Jan,5-Jan,5-Jan
1916,361859,06.01.2023,UCL0045,LEE FOOD PTE LTD,LEE FOOD PTE LTD,SGD,0,0,"3,534.00",36-1859,,,5-Jan,5-Jan,5-Jan
1917,361860,06.01.2023,UCS0046,SONG JI MIXED VEGTABLES RICE,SONG JI MIXED VEGTABLES RICE,SGD,0,0,223,36-1860,,,5-Jan,5-Jan,5-Jan
1918,361861,06.01.2023,UCJ0008,JAYDEN FOODS PTE LTD,JAYDEN FOODS PTE LTD,SGD,0,0,"2,350.00",36-1861,,,5-Jan,5-Jan,5-Jan
1919,361862,06.01.2023,UCB0087,BEDOK RESERVOIR MINIMART,BEDOK RESERVOIR MINIMART,SGD,0,0,148.8,36-1862,,,5-Jan,5-Jan,5-Jan
1920,361863,06.01.2023,UCL0185,LOYANG WAY BIG PRAWN NOODLES PTE LTD,LOYANG WAY BIG PRAWN NOODLES PTE LTD,SGD,0,0,146.6,36-1863,,,5-Jan,5-Jan,5-Jan
1921,361864,06.01.2023,UCC0109,CHUAN HAI KOPITIAM PTE LTD,CHUAN HAI KOPITIAM PTE LTD,SGD,0,0,245.1,36-1864,,,5/1 23101553,5/1 23101553,5/1 23101553
1922,361865,06.01.2023,UCH0024,HOKIEN MIAN,HOKIEN MIAN,SGD,0,0,81,36-1865,,,5-Jan,5-Jan,5-Jan
1923,361866,06.01.2023,UCL0181,108 BIG PRAWN NOODLES PTE LTD,108 BIG PRAWN NOODLES PTE LTD,SGD,0,0,95.4,36-1866,,,5-Jan,5-Jan,5-Jan
1924,361867,06.01.2023,UCY0144,YAN XIA CHUAN TONG MIAN JIA,YAN XIA CHUAN TONG MIAN JIA,SGD,0,0,178.2,36-1867,,,5-Jan,5-Jan,5-Jan
1925,361868,06.01.2023,UCM0186,MA BO (FRIED FISH) LOR MEE PTE.LTD,MA BO (FRIED FISH) LOR MEE PTE.LTD,SGD,0,0,92.3,36-1868,,,5-Jan,5-Jan,5-Jan
1926,361869,06.01.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,0,32.4,36-1869,,,5-Jan,5-Jan,5-Jan
1927,361870,06.01.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,0,109,36-1870,,,5-Jan,5-Jan,5-Jan
1928,361871,06.01.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,0,109.1,36-1871,,,5-Jan,5-Jan,5-Jan
1929,361872,06.01.2023,UCH0241,HK MONG KOK KUI JI KITCHEN,HK MONG KOK KUI JI KITCHEN,SGD,0,0,141.4,36-1872,,,5-Jan,5-Jan,5-Jan
1930,361873,06.01.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,117.6,36-1873,,,5-Jan,5-Jan,5-Jan
1931,361874,06.01.2023,UCM0286,MS LEONG PHENG FUN,MS LEONG PHENG FUN,SGD,0,0,91.2,36-1874,,,5-Jan,5-Jan,5-Jan
1932,361875,06.01.2023,UCC0093,HAI FA CURRY RICE,HAI FA CURRY RICE,SGD,0,0,47.5,36-1875,,,5-Jan,5-Jan,5-Jan
1933,361876,06.01.2023,UCM0285,MIN HO SEAFOOD,MIN HO SEAFOOD,SGD,0,0,106.9,36-1876,,,5-Jan,5-Jan,5-Jan
1934,361877,06.01.2023,UCY0100,XI AN SHI FU PTE LTD,XI AN SHI FU PTE LTD,SGD,0,0,109.9,36-1877,,,5-Jan,5-Jan,5-Jan
1935,361878,06.01.2023,UCS0001,SI JI XIANG MIX VEG RICE,SI JI XIANG MIX VEG RICE,SGD,0,0,7,36-1878,,,5-Jan,5-Jan,5-Jan
1936,361879,06.01.2023,UCB0001,BAK KUT TEH .CLAYPOT DELIGHT,BAK KUT TEH .CLAYPOT DELIGHT,SGD,0,0,135.5,36-1879,,,5-Jan,5-Jan,5-Jan
1937,361880,06.01.2023,UCN0123,YUN HUA BAK KUT TEH,YUN HUA BAK KUT TEH,SGD,0,0,185,36-1880,,,5/1 23101851,5/1 23101851,5/1 23101851
1938,361881,06.01.2023,UCB0002,BAN MIAN (31 J.PORT),BAN MIAN (31 J.PORT),SGD,0,0,42.1,36-1881,,,5-Jan,5-Jan,5-Jan
1939,361882,06.01.2023,UCP0058,PRAWN NOODLE,PRAWN NOODLE,SGD,0,0,110.3,36-1882,,,5-Jan,5-Jan,5-Jan
1940,367163,27.02.2023,UCO0053,ONE SHOP MINIMART,ONE SHOP MINIMART,SGD,0,0,242.1,36-7163,,,25-Feb,25-Feb,25-Feb
1941,367164,27.02.2023,UCF0215,FORTUNE HERBAL SPUP,FORTUNE HERBAL SPUP,SGD,0,0,172.2,36-7164,,,25/2 23120647,25/2 23120647,25/2 23120647
1942,367165,27.02.2023,UCZ0074,ZHONG HUA MEI SHI,ZHONG HUA MEI SHI,SGD,0,0,160.5,36-7165,,,25-Feb,25-Feb,25-Feb
