No,Document Number,Document Type,Canceled,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
46,5683,I,N,13.10.2022,CSKI02,CHICKEN SKIN (LEVIDA) 12kg/ctn,144,2.1,302.4
47,5683,I,N,13.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,856,4.22,"3,612.32"
48,5688,I,N,14.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,990,3.4,"3,366.00"
49,5688,I,N,14.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,650,3.13,"2,034.50"
50,5688,I,N,14.10.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,850,3.72,"3,162.00"
51,5688,I,N,14.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,660,2.4,"1,584.00"
52,5688,I,N,14.10.2022,PHOC05,PORK FRONT HOCK OLYMEL-CANADA 15KG/CTNS,270,2.36,637.2
53,5688,I,N,14.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,120,3.9,468
54,5688,I,N,14.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,560,3.63,"2,032.80"
55,5688,I,N,14.10.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,50,3.72,186
56,5688,I,N,14.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),81.09,5.35,433.83
57,5688,I,N,14.10.2022,PBEL06-02,PORK BELLY SINGLE SKINLESS (BOSELER-GERMANY) 20X50,77,6.03,464.31
58,5688,I,N,14.10.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,875,4.03,"3,526.25"
59,5688,I,N,14.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),415.83,7.8,"3,243.47"
60,5688,I,N,14.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,500,3.63,"1,815.00"
61,5682,I,N,16.10.2022,CMIJ04,CHICKEN- MID JOINT 30gm (FIRST PRIDE) 1kgX12pkt,311,4.9,"1,523.90"
62,5699,I,N,21.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,73,36,"2,628.00"
63,5699,I,N,21.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,440.00",3.45,"4,968.00"
64,5699,I,N,21.10.2022,PTRI02,PORK TRIMMING FRESH,100,3,300
65,5699,I,N,21.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,980,2.4,"2,352.00"
66,5699,I,N,21.10.2022,PHOC05,PORK FRONT HOCK OLYMEL-CANADA 15KG/CTNS,90,2.35,211.5
67,5699,I,N,21.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),146.28,5.35,782.6
68,5699,I,N,21.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,180,4,720
69,5699,I,N,21.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,192,4.22,810.24
70,5699,I,N,21.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),841.17,7.8,"6,561.13"
71,5699,I,N,21.10.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,25,4.03,100.75
72,5699,I,N,21.10.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,324,4.95,"1,603.80"
73,5699,I,N,21.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,576,4.22,"2,430.72"
74,5698,I,N,20.10.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,62,46.76,"2,899.12"
75,5698,I,N,20.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,72,4,288
76,5698,I,N,20.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),"1,390.38",7.8,"10,844.96"
77,5698,I,N,20.10.2022,PTRI02,PORK TRIMMING FRESH,200,3,600
78,5698,I,N,20.10.2022,CQUL04,CHICKEN QUARTER LEG (SANDERSON-USA) 15kg/ctn,915,1.69,"1,546.35"
79,5698,I,N,20.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,540,3.63,"1,960.20"
80,5698,I,N,20.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,420,4,"1,680.00"
81,5698,I,N,20.10.2022,PBEL05-20,PORK BELLY (COOPAVEL-BRAZIL),244.19,4.3,"1,050.02"
82,5698,I,N,20.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),110.29,5.35,590.05
83,5698,I,N,20.10.2022,PBEL06-02,PORK BELLY SINGLE SKINLESS (BOSELER-GERMANY) 20X50,54.22,6.03,326.95
84,5698,I,N,20.10.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,540,4.95,"2,673.00"
85,5698,I,N,20.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,864,4.22,"3,646.08"
86,5669,I,N,01.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,"1,500.00",3.38,"5,070.00"
87,5669,I,N,01.10.2022,PTRI02,PORK TRIMMING FRESH,160,3,480
88,5669,I,N,01.10.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,70,46.76,"3,273.20"
89,5669,I,N,01.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,120,3.9,468
90,5669,I,N,01.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,100,4,400
91,5669,I,N,01.10.2022,BMB002,BEEF MARROW BONE CUT 2 INCH,254.28,1.9,483.12
92,5669,I,N,01.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,380,3.38,"1,284.40"
93,5669,I,N,01.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,450,3.13,"1,408.50"
94,5669,I,N,01.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),205.6,8.45,"1,737.32"
95,5669,I,N,01.10.2022,BLO001,BEEF- LEG OF BEEF,107.55,6.4,688.32
96,5669,I,N,01.10.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn,828,4.94,"4,090.32"
97,5669,I,N,01.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,756,3.9,"2,948.40"
98,5708,I,N,27.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,500,3.63,"1,815.00"
99,5708,I,N,27.10.2022,PBEL06-02,PORK BELLY SINGLE SKINLESS (BOSELER-GERMANY) 20X50,229.12,6.03,"1,381.59"
100,5708,I,N,27.10.2022,PLIV03,PORK LIVER (HK SCAN) 10kg/ctn,"1,700.00",2.5,"4,250.00"
101,5708,I,N,27.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,168,4.1,688.8
102,5708,I,N,27.10.2022,CQUL04,CHICKEN QUARTER LEG (SANDERSON-USA) 15kg/ctn,255,1.69,430.95
103,5708,I,N,27.10.2022,PHOC05-04,PORK FRONT HOCK(BOSELER-GERMANY) 10kg/ctn,850,2.13,"1,810.50"
104,5708,I,N,27.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,984,4.1,"4,034.40"
105,5708,I,N,27.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),129.77,7.8,"1,012.21"
106,5708,I,N,27.10.2022,PBEL05-23,PORK BELLY (LANGUIRU-BRAZIL),636.87,4.7,"2,993.29"
107,5704,I,N,26.10.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,63,46.76,"2,945.88"
108,5704,I,N,26.10.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,200,3.72,744
109,5704,I,N,26.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,350.00",3.45,"4,657.50"
110,5704,I,N,26.10.2022,PTRI02,PORK TRIMMING FRESH,200,3,600
111,5704,I,N,26.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,500,3.63,"1,815.00"
112,5704,I,N,26.10.2022,CQUL04,CHICKEN QUARTER LEG (SANDERSON-USA) 15kg/ctn,795,1.69,"1,343.55"
113,5704,I,N,26.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,60,4,240
114,5704,I,N,26.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,192,4.1,787.2
115,5704,I,N,26.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),239.23,5.35,"1,279.88"
116,5704,I,N,26.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,420,4,"1,680.00"
117,5704,I,N,26.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,500,3.63,"1,815.00"
118,5704,I,N,26.10.2022,PTAI03,PORK TAIL (SB-DENMARK),70.9,1.5,106.35
119,5704,I,N,26.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,672,4.1,"2,755.20"
120,5697,I,N,26.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,60,2.4,144
121,5670,I,N,02.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,30,36,"1,080.00"
122,5670,I,N,02.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,120,4,480
123,5670,I,N,02.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,125,3.13,391.25
124,5670,I,N,02.10.2022,PTRI02,PORK TRIMMING FRESH,432,3,"1,296.00"
125,5670,I,N,02.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),198.1,8.45,"1,673.95"
126,5670,I,N,02.10.2022,BLO001,BEEF- LEG OF BEEF,54.61,6.4,349.5
127,5705,I,N,12.10.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,"2,640.00",1.48,"3,907.20"
128,5709,I,N,25.10.2022,PLOB08,PORK LOIN BONE IN (FRIMESA) 25kg/ctn,875,3,"2,625.00"
129,5709,I,N,25.10.2022,PBEL22-06,PORK BELLY 1.5CM 4X5KG/CTNS (FENG ZHEN),170,5.3,901
130,5689,I,N,15.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,570,3.63,"2,069.10"
131,5689,I,N,15.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,6,36,216
132,5689,I,N,15.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,"1,120.00",2.4,"2,688.00"
133,5689,I,N,15.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,96,3.9,374.4
134,5689,I,N,15.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,422.00",3.4,"4,834.80"
135,5689,I,N,15.10.2022,PTRI02,PORK TRIMMING FRESH,40,3,120
136,5689,I,N,15.10.2022,CQUL04,CHICKEN QUARTER LEG (SANDERSON-USA) 15kg/ctn,390,1.69,659.1
137,5689,I,N,15.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,648,3.4,"2,203.20"
138,5689,I,N,15.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,240,4.22,"1,012.80"
139,5689,I,N,15.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,500,3.63,"1,815.00"
140,5689,I,N,15.10.2022,PBEL05-20,PORK BELLY (COOPAVEL-BRAZIL),492.8,4.3,"2,119.04"
141,5689,I,N,15.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),107.94,5.35,577.48
142,5696,I,N,25.10.2022,PHEA01,PORK HEART (FRESH),142.26,1,142.26
143,5696,I,N,25.10.2022,PHEA03,PORK HEARTS (AUST) 15KG/CTNS,325,2.5,812.5
144,5696,I,N,25.10.2022,PHEA04,PORK HEARTS (BERNARD) 10kg/ctn,28,2.3,64.4
145,5706,I,N,24.10.2022,PM-01,PORK- MINCED PORK 6X2KG/CTNS,120,3.3,396
146,5706,I,N,24.10.2022,PTRI03,PORK TRIMMING FROZEN,"1,306.00",2.7,"3,526.20"
147,5690,I,N,16.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,108,3.4,367.2
148,5690,I,N,16.10.2022,PTRI02,PORK TRIMMING FRESH,440,3,"1,320.00"
149,5690,I,N,16.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,60,3.9,234
150,5690,I,N,16.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,36,4.22,151.92
151,5690,I,N,16.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),201.14,5.35,"1,076.10"
152,5690,I,N,16.10.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,51,46.76,"2,384.76"
153,5690,I,N,16.10.2022,PFER02,PORK HUMEROUSBONES 10KG/CTNS,"1,440.00",1.05,"1,512.00"
154,5690,I,N,16.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,200,4.2,840
155,5691,I,N,17.10.2022,BMB002,BEEF MARROW BONE CUT 2 INCH,853.1,1.9,"1,620.89"
156,5691,I,N,17.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,75,36,"2,700.00"
157,5691,I,N,17.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,60,3.9,234
158,5691,I,N,17.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,"1,040.00",2.4,"2,496.00"
159,5691,I,N,17.10.2022,PFAT04,PORK BACK FAT TONNIES,"1,862.12",2.28,"4,245.63"
160,5691,I,N,17.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,240,3.9,936
161,5691,I,N,17.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),629.73,7.8,"4,911.89"
162,5691,I,N,17.10.2022,BLO001,BEEF- LEG OF BEEF,31.55,6.4,201.92
163,5691,I,N,17.10.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn,576,4.94,"2,845.44"
164,5691,I,N,17.10.2022,PTAI03,PORK TAIL (SB-DENMARK),68.01,1.5,102.02
165,5691,I,N,17.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,864,4.22,"3,646.08"
166,5700,I,N,22.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,440.00",3.45,"4,968.00"
167,5700,I,N,22.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,62,36,"2,232.00"
168,5700,I,N,22.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,60,4,240
169,5700,I,N,22.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,396,3.45,"1,366.20"
170,5700,I,N,22.10.2022,PBEL05-20,PORK BELLY (COOPAVEL-BRAZIL),554.75,4.3,"2,385.43"
171,5700,I,N,22.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,540,3.63,"1,960.20"
172,5700,I,N,22.10.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,60,4.03,241.8
173,5700,I,N,22.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,100,4,400
174,5694,I,N,18.10.2022,PLIV03,PORK LIVER (HK SCAN) 10kg/ctn,"1,700.00",2.5,"4,250.00"
175,5694,I,N,18.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,860,2.4,"2,064.00"
176,5694,I,N,18.10.2022,PHOC05,PORK FRONT HOCK OLYMEL-CANADA 15KG/CTNS,180,2.36,424.8
177,5694,I,N,18.10.2022,PHOC05-04,PORK FRONT HOCK(BOSELER-GERMANY) 10kg/ctn,80,2.13,170.4
178,5694,I,N,18.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,60,4,240
179,5694,I,N,18.10.2022,MTU004,MUTTON NECK CUT 1INCH  2KG/PKT,266.46,6.4,"1,705.34"
180,5694,I,N,18.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),735.3,5.35,"3,933.86"
181,5694,I,N,18.10.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,78,3.72,290.16
182,5694,I,N,18.10.2022,BRE006,BEEF RIBEYE / CUBEROLL (MINERVA),186.82,10.57,"1,974.69"
183,5694,I,N,18.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),531.63,7.8,"4,146.71"
184,5694,I,N,18.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,360,4.22,"1,519.20"
185,5694,I,N,18.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,504,4.22,"2,126.88"
186,5693,I,N,21.10.2022,FSB002-01,FISH- FRESH SEABASS 600-700GM,200,6.89,"1,378.00"
187,5692,I,N,21.10.2022,FSB002-03,FISH- FRESH SEABASS 500-600GM,100,6.9,690
188,5695,I,N,19.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),41.39,5.35,221.44
189,5695,I,N,19.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,156,4.22,658.32
190,5695,I,N,19.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,320,3.63,"1,161.60"
191,5695,I,N,19.10.2022,PRIB01-13,PORK MEALTY RIBLETS (AURORA) 10kg/ctn,20,3.77,75.4
192,5695,I,N,19.10.2022,MTU004,MUTTON NECK CUT 1INCH  2KG/PKT,263.54,6.4,"1,686.66"
193,5695,I,N,19.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,65,36,"2,340.00"
194,5695,I,N,19.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,96,4,384
195,5695,I,N,19.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,530.00",3.45,"5,278.50"
196,5695,I,N,19.10.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,200,3.72,744
197,5695,I,N,19.10.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,142,4.03,572.26
198,5695,I,N,19.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,810,3.45,"2,794.50"
199,5695,I,N,19.10.2022,BSP003,BEEF SHORT PLATE BONELESS (USA-IBP),152.84,9.6,"1,467.26"
200,5695,I,N,19.10.2022,PBEL05-20,PORK BELLY (COOPAVEL-BRAZIL),804.3,4.3,"3,458.49"
201,5695,I,N,19.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,306,3.45,"1,055.70"
202,5695,I,N,19.10.2022,PTRI03,PORK TRIMMING FROZEN,885,2.7,"2,389.50"
203,5707,I,N,19.10.2022,PRIB04,PORK RIBLETS CUT PCS AURORA,20,4.8,96
204,5684,I,N,12.10.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,456,1.48,674.88
205,5684,I,N,12.10.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,468,1.48,692.64
206,5684,I,N,12.10.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,480,1.48,710.4
207,5684,I,N,12.10.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,456,1.48,674.88
208,5684,I,N,12.10.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,300,1.48,444
209,5684,I,N,12.10.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,432,1.48,639.36
210,5684,I,N,12.10.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,456,1.48,674.88
211,5684,I,N,12.10.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,456,1.48,674.88
212,5722,I,N,06.11.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,300,3.8,"1,140.00"
213,5722,I,N,06.11.2022,MTU005,LAMB NECK PIECES FREW (MIDFIELD),937.31,5.8,"5,436.40"
214,5722,I,N,06.11.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),48,5.35,256.8
215,5672,I,N,03.10.2022,PLOB08,PORK LOIN BONE IN (FRIMESA) 25kg/ctn,125,3,375
216,5671,I,N,03.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,64,36,"2,304.00"
217,5671,I,N,03.10.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,35,46.76,"1,636.60"
218,5671,I,N,03.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,"1,000.00",2.37,"2,370.00"
219,5671,I,N,03.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,80,4,320
220,5671,I,N,03.10.2022,PFER02,PORK HUMEROUSBONES 10KG/CTNS,720,1.05,756
221,5671,I,N,03.10.2022,PSHO03,PORK SHOULDER (SULINA) 18kg/ctn,90,3.25,292.5
222,5671,I,N,03.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,375,3.13,"1,173.75"
223,5671,I,N,03.10.2022,PLOB08,PORK LOIN BONE IN (FRIMESA) 25kg/ctn,750,3,"2,250.00"
224,5671,I,N,03.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,340,4,"1,360.00"
225,5671,I,N,03.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),158.3,8.45,"1,337.64"
226,5671,I,N,03.10.2022,BLO001,BEEF- LEG OF BEEF,26.66,6.4,170.62
227,5671,I,N,03.10.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,150,4.03,604.5
228,5671,I,N,03.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,330,3.38,"1,115.40"
229,5671,I,N,03.10.2022,PFER02,PORK HUMEROUSBONES 10KG/CTNS,720,1.05,756
230,5671,I,N,03.10.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,725,3.72,"2,697.00"
231,5671,I,N,03.10.2022,PCHB01,PORK CHOP BONE IN 1.5cm 2X5KG/CTNS,140,3.8,532
232,5723,I,N,07.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,368.00",3.5,"4,788.00"
233,5723,I,N,07.11.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,150,3.72,558
234,5723,I,N,07.11.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,470,3.44,"1,616.80"
235,5723,I,N,07.11.2022,CWHL03,CHICKEN- WHOLE LEG (SEARA/LAR) 15kg/ctn,68,37.5,"2,550.00"
236,5723,I,N,07.11.2022,PHOC03,PORK HOCK (PAMPLONA) 12KG/CTNS,18,2.45,44.1
237,5723,I,N,07.11.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,"1,060.00",2.4,"2,544.00"
238,5723,I,N,07.11.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,40,3.8,152
239,5723,I,N,07.11.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,200,3.8,760
240,5723,I,N,07.11.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),556.65,7.8,"4,341.87"
241,5723,I,N,07.11.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),55.83,7.8,435.47
242,5723,I,N,07.11.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,594,4.95,"2,940.30"
243,5723,I,N,07.11.2022,PTAI03,PORK TAIL (SB-DENMARK),66.9,1.5,100.35
244,5727,I,N,08.11.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,470,3.44,"1,616.80"
245,5727,I,N,08.11.2022,PTRI02,PORK TRIMMING FRESH,60,3,180
246,5727,I,N,08.11.2022,PLEG03,PORK LEG (ALEGRA-SA),55.28,2.95,163.08
247,5727,I,N,08.11.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,100,3.8,380
248,5727,I,N,08.11.2022,PRIB01,PORK MEATY RIBLETS (BELGIUM) IWP PACKING,900,2.1,"1,890.00"
249,5727,I,N,08.11.2022,PFAT04,PORK BACK FAT TONNIES,"2,035.89",2.28,"4,641.83"
250,5727,I,N,08.11.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,125,4.03,503.75
251,5727,I,N,08.11.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,756,4.09,"3,092.04"
252,5681,I,N,12.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,144,3.9,561.6
253,5681,I,N,12.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,111,36,"3,996.00"
254,5681,I,N,12.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),"1,007.77",7.8,"7,860.61"
255,5681,I,N,12.10.2022,BLO001,BEEF- LEG OF BEEF,237.16,6.4,"1,517.82"
256,5681,I,N,12.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,840,2.4,"2,016.00"
257,5681,I,N,12.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),203.93,7.8,"1,590.65"
258,5681,I,N,12.10.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn,378,4.94,"1,867.32"
259,5681,I,N,12.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,50,3.13,156.5
260,5681,I,N,12.10.2022,PCOL10-01,PORK COLLAR IBERICO (JARMONDOR-SPAIN),10.8,20.5,221.4
261,5719,I,N,30.10.2022,CCUB04,CHICKEN CUBE 2KGX6PKT/CTNS,36,4.3,154.8
262,5720,I,N,10.11.2022,CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,"5,130.00",1.48,"7,592.40"
263,5725,I,N,10.11.2022,CMIN03,CHICKEN- MINCED CHICKEN 300GM X 12PKT (PERDIGAO),43,2.3,98.9
264,5725,I,N,10.11.2022,CSLI08,CHICKEN SLICED SHABU SHABU (UF) 250kg/pkt,10,1,10
