pdt_code,pdt_name,current_inv,profit_margin,profit_per_qty,purchases_data_date_range,latest_purchases_date,latest_purchases_price,purchases_min_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_max_price,sales_avg_price,sales_min_price,total_purchases_qty,total_sales_qty,avg_sales_qty_per_month,total_profit
BAO001,,,0.37,4.4,2023-03-01 - 2023-09-08,2023-07-21,7.6,7.51,2023-03-01 - 2023-09-08,2023-09-04,9.2,10.5,9.2,8.0,172.53,246.51,41.09,5510.62
BAU002,,,0.04,1.0,2021-09-01 - 2023-09-08,2022-08-26,27.2,27.2,2021-09-01 - 2023-09-08,2022-08-26,28.2,28.2,28.2,28.2,12.92,25.84,4.31,25.84
BBA001,,,0.02,0.2,2023-03-01 - 2023-09-08,2023-09-04,9.0,9.0,2023-03-01 - 2023-09-08,2023-09-07,9.63,12.0,9.3,9.2,1850.0,32675.0,5445.83,4808.93
BBA001-01,,,0.14,1.7,2023-03-01 - 2023-09-08,2023-08-04,10.8,10.8,2023-03-01 - 2023-09-08,2023-08-24,19.35,19.35,12.5,12.5,41.0,81.0,13.5,3070.85
BBG001,,,0.16,0.7,2021-09-01 - 2023-09-08,2022-08-15,3.9,3.0,2021-09-01 - 2023-09-08,2022-08-16,4.5,4.5,4.5,4.5,180.0,436.0,72.67,305.2
BBR001,,,0.03,0.2,2023-03-01 - 2023-09-08,2023-06-28,6.7,6.7,2023-03-01 - 2023-09-08,2023-08-04,9.5,11.0,7.6,7.6,1050.5,9542.29,1590.38,9296.85
BBR002,,,0.24,2.2,2023-03-01 - 2023-09-08,2023-09-06,7.0,6.9,2023-03-01 - 2023-09-08,2023-09-07,9.5,11.0,9.2,7.2,2907.13,23855.1,3975.85,219612.32
BBR003,,,0.19,1.7,2021-09-01 - 2023-09-08,2022-05-04,7.3,7.2,2021-09-01 - 2023-09-08,2022-05-03,11.0,11.0,9.0,8.5,313.14,781.79,130.3,1977.96
BBR004,,,0.04,0.3,2021-09-01 - 2023-09-08,2022-05-19,7.3,7.3,2021-09-01 - 2023-09-08,2022-05-29,7.6,11.0,7.6,7.6,237.61,5720.04,953.34,4235.4
BBR009,,,0.03,0.3,2023-03-01 - 2023-09-08,2023-06-07,11.0,11.0,2023-03-01 - 2023-09-08,2023-06-07,11.3,11.3,11.3,11.3,34.11,34.11,5.69,10.23
BBR010,,,0.14,1.0,2023-03-01 - 2023-09-08,2023-09-07,6.0,6.0,2023-03-01 - 2023-09-08,2023-09-07,7.0,7.0,7.0,7.0,873.19,873.19,145.53,873.19
BCHO01,,,,,,,,,2023-03-01 - 2023-09-08,2023-08-24,12.0,12.0,12.0,12.0,,173.82,28.97,0.0
BCHO03,,,0.07,0.55,2023-03-01 - 2023-09-08,2023-08-31,7.6,7.6,2023-03-01 - 2023-09-08,2023-08-30,9.8,9.8,9.8,8.6,1080.0,10920.0,1820.0,40323.8
BCHO04,,,0.09,0.5,2021-09-01 - 2023-09-08,2022-07-29,5.0,5.0,2021-09-01 - 2023-09-08,2022-07-22,5.5,5.5,5.5,5.5,6.0,18.0,3.0,9.0
BCHO05,,,0.38,3.0,2021-09-01 - 2023-09-08,2022-11-19,5.0,5.0,2023-03-01 - 2023-09-08,2023-09-06,8.0,13.21,9.26,7.1,1888.0,20892.0,3482.0,163174.67
