pdt_code,pdt_name,current_inv,profit_margin,profit_per_qty,purchases_data_date_range,latest_purchases_date,latest_purchases_price,purchases_min_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_max_price,sales_avg_price,sales_min_price,total_purchases_qty,total_sales_qty,avg_sales_qty_per_month,total_profit
BAO001,BEEF AORTA 20KG/CTNS,0.0,0.31,3.45,2023-04-01 - 2023-10-02,2023-09-26,6.5,6.5,2023-04-01 - 2023-10-02,2023-09-25,8.5,10.5,9.6,8.0,184.06,184.06,30.68,1243.46
BAU002,BEEF- BONE IN TOMAHAWK (FROZEN),0.0,0.04,1.0,2021-10-01 - 2023-10-02,2022-08-26,27.2,27.2,2021-10-01 - 2023-10-02,2022-08-26,28.2,28.2,28.2,28.2,12.92,12.92,2.15,12.92
BBA001,BEEF BALL 1kg/pkt (PING PONG),101.0,0.05,0.5,2023-04-01 - 2023-10-02,2023-09-15,9.0,9.0,2023-04-01 - 2023-10-02,2023-10-02,10.07,12.0,9.8,9.2,1590.0,1625.0,270.83,3152.6
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,5.0,0.14,1.7,2023-04-01 - 2023-10-02,2023-09-20,10.8,10.8,2023-04-01 - 2023-10-02,2023-09-27,12.5,19.35,12.5,12.5,51.0,47.0,7.83,619.9
BBG001,BEEF- BULGOGI BEEF BURGER 15 X420GM,0.0,0.16,0.7,2021-10-01 - 2023-10-02,2022-08-15,3.9,3.0,2021-10-01 - 2023-10-02,2022-08-16,4.5,4.5,4.5,4.5,180.0,209.0,34.83,146.3
BBR001,BEEF BRISKET (BEAUVALLET-BRAZIL),0.0,0.22,2.1,2023-04-01 - 2023-10-02,2023-06-28,6.7,6.7,2023-04-01 - 2023-10-02,2023-08-04,9.5,11.0,9.5,7.6,1050.5,1218.81,203.14,3125.72
BBR002,BEEF BRISKET PE * (FRIBOI-BRAZIL),38.41,0.26,2.5,2023-04-01 - 2023-10-02,2023-09-06,7.0,6.9,2023-04-01 - 2023-10-02,2023-09-22,10.5,11.0,9.2,7.2,2188.46,2466.98,411.16,20709.36
BBR003,BEEF BRISKET PE (THOMAS-AUST) * PCS,0.0,0.34,3.7,2021-10-01 - 2023-10-02,2022-05-04,7.3,7.2,2021-10-01 - 2023-10-02,2022-05-03,11.0,11.0,11.0,8.5,313.14,313.14,52.19,1015.35
BBR004,BEEF BRISKET NE (FRIBOI/MAFRIPAR/MONDELI/QULITY),318.0,0.2,1.8,2023-04-01 - 2023-10-02,2023-09-28,7.2,7.2,2023-04-01 - 2023-10-02,2023-09-30,9.67,11.0,9.0,7.6,443.7,136.4,22.73,954.06
BBR009,BEEF BRISKET CHOICE GRADE,0.0,0.03,0.3,2023-04-01 - 2023-10-02,2023-06-07,11.0,11.0,2023-04-01 - 2023-10-02,2023-06-07,11.3,11.3,11.3,11.3,34.11,34.11,5.69,10.23
