pdt_code,pdt_name,current_inv,profit_margin,profit_per_qty,summary_purchases_date_range,summary_purchases_latest_date,summary_purchases_latest_price,summary_purchases_min_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_max_price,summary_sales_median_price,summary_sales_min_price,summary_purchases_total_qty,summary_sales_total_qty,summary_sales_avg_qty_per_month,total_profit
MSC008,MUTTON- LAMB LOIN CHOP 1.2CM 2KG/PKT [HALAL],0.0,0.08,1.0,2023-08-01 - 2023-09-04,2023-08-31,11.5,11.5,2023-08-01 - 2023-09-04,2023-08-31,12.5,12.5,12.5,12.5,6.0,6.0,6.0,8.0
MSL001,MUTTON SLICED 2MM (SHABU SHABU) 1kg/pkt,0.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-18,14.5,14.5,14.5,14.5,,91.0,91.0,0.0
MSL004,MUTTON SLICED 4MM (SHABU SHABU) 1kg/pkt,97.0,,,,,,,2023-08-01 - 2023-09-04,2023-09-03,13.35,16.5,13.0,10.5,,1238.0,1238.0,0.0
MSV002,SHEEP FEET,0.0,,,,,,,2023-06-01 - 2023-09-04,2023-07-16,6.8,6.8,6.8,6.8,,24.9,24.9,0.0
MTE001,MUTTON TESTES TR,400.14,0.28,2.5,2023-06-01 - 2023-09-04,2023-07-05,6.5,6.5,2023-08-01 - 2023-09-04,2023-08-31,9.0,9.5,9.0,8.5,509.53,139.95,139.95,563.82
MTR001,MUTTON TRIPE,0.0,-0.04,-0.2,2023-08-01 - 2023-09-04,2023-08-24,4.7,4.7,2023-08-01 - 2023-09-04,2023-08-23,6.0,6.0,4.5,4.5,20.0,2442.4,2442.4,-372.55
MTU001,MUTTON TRUNK 27.20kg/ctn,544.0,0.03,0.25,2023-08-01 - 2023-09-04,2023-08-31,8.2,8.2,2023-06-01 - 2023-09-04,2023-07-26,8.1,8.8,8.45,8.1,544.0,408.0,408.0,149.6
MTU004,MUTTON NECK CUT 1INCH  2KG/PKT,846.45,0.39,2.5,2023-08-01 - 2023-09-04,2023-08-05,3.9,3.9,2023-08-01 - 2023-09-04,2023-09-03,5.6,8.5,6.8,4.3,327.5,6355.6,6355.6,57674.64
MTU005,LAMB NECK PIECES FREW (WOODWARD),34.29,0.23,1.2,2023-08-01 - 2023-09-04,2023-08-28,4.1,3.9,2023-08-01 - 2023-09-04,2023-08-26,5.3,7.5,5.3,4.5,1546.8,1793.07,1793.07,3291.92
MTU005-02,LAMB NECK BONE (THOMAS),428.01,0.09,0.4,2023-08-01 - 2023-09-04,2023-09-04,3.9,3.6,2023-08-01 - 2023-09-04,2023-09-02,4.5,4.5,4.5,4.5,2180.24,134.02,134.02,53.61
MTU006,MUTTON NECK CUT 3CM,0.0,,,,,,,2023-06-01 - 2023-09-04,2023-06-20,5.6,5.6,5.6,5.6,,80.0,80.0,0.0
OAB002,OTHER- ABALONE SLICED 300gm,760.0,0.58,2.65,2023-08-01 - 2023-09-04,2023-08-28,1.9,1.9,2023-08-01 - 2023-09-04,2023-09-01,3.2,5.09,3.5,2.5,600.0,2321.0,2321.0,10482.26
OAB005,OTHER- 10pcs ABALONE CANNED 425/180gm 24CANS/CTNS,65.0,0.48,7.1,2023-08-01 - 2023-09-04,2023-08-11,7.6,7.6,2023-08-01 - 2023-09-04,2023-08-30,12.0,14.7,12.0,12.0,120.0,453.0,453.0,17859.94
OAB006,OTHER- 8pcs ABALONE CANNED 425/180gm 24CANS/CTNS,0.0,,,,,,,2023-06-01 - 2023-09-04,2023-06-10,0.01,0.01,0.01,0.01,,3.0,3.0,0.0
OAB013,OTHER- ABALONE 8pcs/pkt x 20pkt/ctns,0.0,0.17,2.5,2023-06-01 - 2023-09-04,2023-06-08,12.5,12.5,2023-06-01 - 2023-09-04,2023-06-08,15.0,15.0,15.0,15.0,20.0,20.0,20.0,50.0
OBA001,OTHER- LOBSTER BALL (FIGO) 500gm/pkt,203.0,0.2,0.7,2023-08-01 - 2023-09-04,2023-08-22,2.8,2.8,2023-08-01 - 2023-09-04,2023-09-03,3.57,5.56,3.5,3.0,1800.0,23549.0,23549.0,88522.62
OBA005,OTHER- FUZHOU PRAWN FISHBALL STARFISH 10'S 20PKT/CTNS,51.0,0.28,0.65,2023-06-01 - 2023-09-04,2023-06-19,1.65,1.65,2023-08-01 - 2023-09-04,2023-08-12,2.3,2.3,2.3,2.3,100.0,30.0,30.0,142.83
OBA006,OTHER- FISH BALL L 65pcs +/- 1kg/pkt,95.0,0.2,1.0,2023-08-01 - 2023-09-04,2023-09-02,4.0,4.0,2023-08-01 - 2023-09-04,2023-09-03,5.0,5.5,5.0,0.01,390.0,3613.0,3613.0,14075.58
OBA008,OTHER- FISH BALL WITH ROE 500gmx24pkt,55.0,0.16,1.2,2023-08-01 - 2023-09-04,2023-08-22,6.3,6.3,2023-08-01 - 2023-09-04,2023-09-02,7.5,7.5,7.5,6.5,120.0,1116.0,1116.0,3298.4
OBA008-03,OTHER- FISH BALL WITH ROE 500GMX20PKT/CTNS (FISRO),694.0,0.41,2.06,2023-06-01 - 2023-09-04,2023-07-27,2.94,2.94,2023-08-01 - 2023-09-04,2023-09-03,5.0,6.94,5.0,3.2,2020.0,3917.0,3917.0,27630.86
OBA011,OTHER- FRIED FISH BALL (FIGO) 10x1KG/CTNS,57.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-04,5.0,5.0,5.0,5.0,,125.0,125.0,0.0
OBA0112,OTHER- FRIED FISH BALL ALIFISH (500gm x 20pkt),0.0,,,,,,,2023-06-01 - 2023-09-04,2023-07-31,2.5,4.54,2.5,2.2,,778.0,778.0,0.0
OBC001,OTHER- CARROT DICED 2.5KGX4PKT/CTNS,50.0,0.06,0.1,2023-06-01 - 2023-09-04,2023-07-20,1.55,1.55,2023-08-01 - 2023-09-04,2023-08-11,3.0,3.0,3.0,3.0,180.0,60.0,60.0,554.0
OBE001,OTHER- MIX VEGETABLES BEAN (CHINA) 1kgX10pkt,4446.0,0.33,0.56,2023-06-01 - 2023-09-04,2023-07-26,1.14,1.14,2023-08-01 - 2023-09-04,2023-09-03,2.2,3.24,2.2,1.5,8000.0,11807.0,11807.0,51518.86
OBE002,OTHER- GREEN PEA 1kgX10pkt,3345.0,,,,,,,2023-08-01 - 2023-09-04,2023-09-02,2.6,3.3,2.6,1.8,,2540.0,2540.0,0.0
OBR001,OTHER- BROCCOLI FLORET (CHINA) 10X1KG/CTNS,2318.0,0.05,0.1,2023-06-01 - 2023-09-04,2023-07-26,1.46,1.46,2023-08-01 - 2023-09-04,2023-09-02,2.09,2.6,1.9,1.8,14300.0,20320.0,20320.0,3926.3
OBS001,OTHER- FRIED BEANCURD SKIN 1KG/PKT (DOUKEE) A,432.0,0.06,0.5,2023-08-01 - 2023-09-04,2023-09-02,8.0,8.0,2023-08-01 - 2023-09-04,2023-09-03,8.79,9.8,8.5,8.2,1770.0,14405.0,14405.0,31014.9
OBTS03-02,OTHER- BUTTER UNSALTED (WEST GOLD) 250gm X 40pcs,22.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-22,4.0,4.0,4.0,4.0,,118.0,118.0,0.0
OCA001,OTHER- CAULIFLOWER 10X1KG/CTNS,60.0,0.08,0.15,2023-08-01 - 2023-09-04,2023-08-14,1.65,1.65,2023-08-01 - 2023-09-04,2023-08-14,1.8,2.6,1.8,1.8,150.0,1090.0,1090.0,408.1
OCA002,OTHER- CALIFORNIA MIX 10X1KG/CTNS,0.0,0.21,0.55,2023-08-01 - 2023-09-04,2023-08-03,2.05,2.05,2023-08-01 - 2023-09-04,2023-08-04,2.6,2.6,2.6,2.6,100.0,100.0,100.0,55.0
OCC005,OTHER- CHICKEN CHEESE BALL 500GM/PKT,0.0,0.22,1.3,2023-06-01 - 2023-09-04,2023-06-15,4.5,4.5,2023-06-01 - 2023-09-04,2023-06-15,5.8,5.8,5.8,5.8,10.0,10.0,10.0,13.0
OCE001,OTHER- PORTUGUESE EGG TART,0.0,0.14,13.32,2023-06-01 - 2023-09-04,2023-07-14,79.95,79.95,2023-06-01 - 2023-09-04,2023-07-15,93.27,93.27,93.27,93.27,2.0,2.0,2.0,26.64
OCH001,OTHER- SLICED CHEESE 84pcs (CHEF CHOICE),78.0,0.02,0.2,2023-08-01 - 2023-09-04,2023-08-21,11.5,11.5,2023-08-01 - 2023-09-04,2023-09-03,13.5,13.5,12.5,11.7,60.0,176.0,176.0,1113.8
OCH002,OTHER- CHEDDAR CHEESE SHREDDED 2kg,0.0,0.12,1.5,2023-08-01 - 2023-09-04,2023-08-30,11.5,11.5,2023-08-01 - 2023-09-04,2023-08-31,13.0,14.0,14.0,13.0,12.0,24.0,24.0,65.0
OCH004,OTHER- NACHO CHEESE SAUCE 12PKTX1L,54.0,0.1,0.54,2023-08-01 - 2023-09-04,2023-08-11,5.06,5.06,2023-08-01 - 2023-09-04,2023-08-22,6.4,7.3,6.4,5.8,60.0,214.0,214.0,1947.38
OCK002,OTHER- MINI CHIKUWA 500GMX20pkt/ctns MUSHROOM,27.0,0.18,0.55,2023-08-01 - 2023-09-04,2023-08-11,2.45,2.45,2023-08-01 - 2023-09-04,2023-09-03,3.0,6.5,3.0,3.0,200.0,2434.0,2434.0,3333.4
OCL014,OTHER- MOUSSE CAKE - RED VELVET,0.0,0.01,0.2,2023-06-01 - 2023-09-04,2023-07-12,15.0,15.0,2023-06-01 - 2023-09-04,2023-07-12,15.2,15.2,15.2,15.2,1.0,1.0,1.0,0.2
OCL018,OTHER- CHESTNUT & FRESH MILK MULTIGRAIN CAKE,0.0,0.32,1.05,2023-06-01 - 2023-09-04,2023-07-11,2.25,2.25,2023-06-01 - 2023-09-04,2023-07-17,3.3,3.3,3.3,3.3,225.0,315.0,315.0,330.75
OCN002,OTHER- CHICKEN NUGGETS 18X400GM/CTNS,12.0,0.16,0.6,2023-08-01 - 2023-09-04,2023-09-04,3.2,3.2,2023-08-01 - 2023-09-04,2023-08-14,3.8,3.8,3.8,3.8,54.0,36.0,36.0,363.15
OCN004,OTHER- CHICKEN NUGGETS (FARMPRIDE) 1kgX10pkt,190.0,0.09,0.5,2023-08-01 - 2023-09-04,2023-08-29,5.3,5.3,2023-08-01 - 2023-09-04,2023-09-02,6.0,6.0,5.8,5.8,50.0,530.0,530.0,821.0
OCN005,OTHER- CHICKEN NUGGETS BATTER (FARMPRIDE) 500gmX18pkt,234.0,0.22,1.0,2023-08-01 - 2023-09-04,2023-08-28,3.5,3.5,2023-08-01 - 2023-09-04,2023-09-03,4.5,4.5,4.5,4.5,540.0,1872.0,1872.0,7322.4
OCN006,OTHER- CHICKEN NUGGETS (FREEZE PAK) 9X1kg,2892.0,0.17,1.17,2023-08-01 - 2023-09-04,2023-08-28,5.77,5.77,2023-08-01 - 2023-09-04,2023-09-03,7.5,10.6,7.03,6.0,2700.0,6869.0,6869.0,73918.72
OCN006-02,OTHER- CHICKEN NUGGETS FLAMIN (FREEZE PAK) 10X800GM,638.0,0.15,1.04,2023-06-01 - 2023-09-04,2023-07-05,6.37,5.9,2023-08-01 - 2023-09-04,2023-09-01,7.0,8.06,6.94,6.4,3180.0,640.0,640.0,33732.08
OCN007,OTHER- CHICKEN NUGGETS 50PCS+/KG (KESKINOGLU-TURKEY) 10X1kg,2658.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-30,5.17,7.5,5.2,3.9,,1571.0,1571.0,0.0
OCN008,OTHER- CHICKEN GOLDEN NUGGETS (AYAMAS) 850gm x 10 pkt,589.0,0.35,2.27,2023-08-01 - 2023-09-04,2023-08-22,4.13,4.13,2023-08-01 - 2023-09-04,2023-09-02,6.38,8.15,6.2,2.0,800.0,2045.0,2045.0,18059.09
OCO002,OTHER- SWEET CORN KERNEL (STARMAX GOLD) 1kgX10pkt,0.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-10,2.5,2.5,2.5,2.5,,8.0,8.0,0.0
OCO002-01,OTHER- SWEET CORN KERNEL (CHINA) 1kgX10pkt,6536.0,0.05,0.1,2023-06-01 - 2023-09-04,2023-07-26,1.13,1.13,2023-08-01 - 2023-09-04,2023-09-02,2.6,4.54,2.2,1.8,9700.0,8054.0,8054.0,4946.44
OCP002,OTHER- CHICKEN BURGER BREADED (FARMPRIDE) 375gmX18pkt,160.0,0.46,2.81,2023-06-01 - 2023-09-04,2023-07-19,3.3,3.3,2023-08-01 - 2023-09-04,2023-09-02,3.8,6.11,4.0,3.5,450.0,1278.0,1278.0,7307.99
OCP003,OTHER- CHICKEN PATTIES BREADED (FARMPRIDE) 500gmX18pkt,234.0,0.17,0.7,2023-08-01 - 2023-09-04,2023-08-28,3.5,3.5,2023-08-01 - 2023-09-04,2023-08-29,4.2,4.5,4.2,4.2,270.0,1026.0,1026.0,2216.1
OCP004,OTHER- CHICKEN PATTIES (GOURMET-ROSEMARY) 420gmX15pkt,0.0,0.22,1.25,2023-08-01 - 2023-09-04,2023-08-07,4.4,4.4,2023-08-01 - 2023-09-04,2023-08-08,5.65,5.65,5.65,5.65,15.0,211.0,211.0,263.75
OCP004-02,CHICKEN BURGER ROSEMARY THYME (GOURMET) 15X420gm,15.0,0.22,1.25,2023-08-01 - 2023-09-04,2023-08-18,4.4,4.4,2023-08-01 - 2023-09-04,2023-08-19,5.65,5.65,5.65,5.65,15.0,30.0,30.0,75.0
OCP006-02,OTHER- CHICKEN PATTIES CLASSIC 20X320gm,220.0,0.2,0.8,2023-06-01 - 2023-09-04,2023-07-04,3.2,3.2,2023-08-01 - 2023-09-04,2023-09-03,4.5,4.5,4.0,4.0,400.0,1330.0,1330.0,2697.0
OCP009,OTHER- CHICKEN PATTY (KESKINOGLU-TURKEY) 10X1KG/CTNS,1492.0,,,,,,,2023-08-01 - 2023-09-04,2023-09-02,14.5,14.5,6.0,3.5,,1226.0,1226.0,0.0
