pdt_code,pdt_name,current_inv,profit_margin,profit_per_qty,purchases_data_date_range,latest_purchases_date,latest_purchases_price,purchases_min_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_max_price,sales_avg_price,sales_min_price,total_purchases_qty,total_sales_qty,avg_sales_qty_per_month,total_profit
BAO001,BEEF AORTA 20KG/CTNS,0.0,0.37,4.4,2023-03-01 - 2023-09-15,2023-07-21,7.6,7.51,2023-03-01 - 2023-09-15,2023-09-09,9.2,10.5,9.2,8.0,172.53,270.68,45.11,5549.29
BAU002,BEEF- BONE IN TOMAHAWK (FROZEN),0.0,0.04,1.0,2021-09-01 - 2023-09-15,2022-08-26,27.2,27.2,2021-09-01 - 2023-09-15,2022-08-26,28.2,28.2,28.2,28.2,12.92,25.84,4.31,25.84
BBA001,BEEF BALL 1kg/pkt (PING PONG),96.0,0.02,0.2,2023-03-01 - 2023-09-15,2023-09-04,9.0,9.0,2023-03-01 - 2023-09-15,2023-09-14,10.0,12.0,9.2,9.2,1850.0,37023.0,6170.5,5919.1
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,3.0,0.14,1.7,2023-03-01 - 2023-09-15,2023-09-14,10.8,10.8,2023-03-01 - 2023-09-15,2023-09-14,12.5,19.35,12.5,12.5,46.0,85.0,14.17,3077.65
BBG001,BEEF- BULGOGI BEEF BURGER 15 X420GM,0.0,0.16,0.7,2021-09-01 - 2023-09-15,2022-08-15,3.9,3.0,2021-09-01 - 2023-09-15,2022-08-16,4.5,4.5,4.5,4.5,180.0,436.0,72.67,305.2
BBR001,BEEF BRISKET (BEAUVALLET-BRAZIL),0.0,0.03,0.2,2023-03-01 - 2023-09-15,2023-06-28,6.7,6.7,2023-03-01 - 2023-09-15,2023-08-04,9.5,11.0,7.6,7.6,1050.5,9542.29,1590.38,9296.85
BBR002,BEEF BRISKET PE * (FRIBOI-BRAZIL),150.83,0.24,2.2,2023-03-01 - 2023-09-15,2023-09-06,7.0,6.9,2023-03-01 - 2023-09-15,2023-09-14,9.5,11.0,9.2,7.2,2907.13,26624.2,4437.37,220626.89
BBR003,BEEF BRISKET PE (THOMAS-AUST) * PCS,0.0,0.19,1.7,2021-09-01 - 2023-09-15,2022-05-04,7.3,7.2,2021-09-01 - 2023-09-15,2022-05-03,11.0,11.0,9.0,8.5,313.14,781.79,130.3,1977.96
BBR004,BEEF BRISKET NE (FRIBOI/MAFRIPAR/MONDELI/QULITY),0.0,0.04,0.3,2021-09-01 - 2023-09-15,2022-05-19,7.3,7.3,2021-09-01 - 2023-09-15,2022-05-29,7.6,11.0,7.6,7.6,237.61,5720.04,953.34,4235.4
BBR009,BEEF BRISKET CHOICE GRADE,0.0,0.03,0.3,2023-03-01 - 2023-09-15,2023-06-07,11.0,11.0,2023-03-01 - 2023-09-15,2023-06-07,11.3,11.3,11.3,11.3,34.11,34.11,5.69,10.23
BBR010,BEEF BRISKET PE * (GJ-BRAZIL),0.0,0.14,1.0,2023-03-01 - 2023-09-15,2023-09-09,6.0,6.0,2023-03-01 - 2023-09-15,2023-09-11,7.0,7.0,7.0,7.0,2569.66,2569.66,428.28,2569.66
BCHO01,BEEF CHOP 190-220gm 5kg/pkt,12.78,0.49,9.5,,,,,2023-03-01 - 2023-09-15,2023-09-12,12.0,12.0,12.0,12.0,,205.26,34.21,3124.45
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,40.0,0.07,0.55,2023-03-01 - 2023-09-15,2023-08-31,7.6,7.6,2023-03-01 - 2023-09-15,2023-09-13,9.8,9.8,9.8,8.6,1080.0,11600.0,1933.33,41819.8
BCHO04,BEEF MELTIQUE SIRLOIN STEAK 150GM/PCS,0.0,0.09,0.5,2021-09-01 - 2023-09-15,2022-07-29,5.0,5.0,2021-09-01 - 2023-09-15,2022-07-22,5.5,5.5,5.5,5.5,6.0,18.0,3.0,9.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,228.0,0.38,3.0,2021-09-01 - 2023-09-15,2022-11-19,5.0,5.0,2023-03-01 - 2023-09-15,2023-09-14,7.99,13.21,9.26,7.1,1888.0,22029.0,3671.5,167484.61
BCR001,BEEF CHUCK BRAZIL,0.0,0.08,0.6,2021-09-01 - 2023-09-15,2023-02-22,7.2,6.5,2023-03-01 - 2023-09-15,2023-03-06,7.8,7.8,7.8,7.8,2408.52,48.22,8.04,1604.41
BCR002,"BEEF CHUCK EYEROLL CHOICE ,,USA,,SWIFT",76.42,0.02,0.3,2023-03-01 - 2023-09-15,2023-09-14,13.5,12.8,2023-03-01 - 2023-09-15,2023-09-14,17.3,19.0,13.8,13.8,308.62,8784.64,1464.11,5538.07
BCT001,BEEF CHUCK TENDER (BRAZIL),100.38,0.15,1.35,2023-03-01 - 2023-09-15,2023-09-14,7.8,7.5,2023-03-01 - 2023-09-15,2023-09-13,8.0,10.5,8.0,7.8,14506.35,18748.18,3124.7,9500.38
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,48.0,0.11,1.0,,,,,2023-03-01 - 2023-09-15,2023-08-06,10.5,12.0,9.5,9.5,,2289.01,381.5,6044.22
BCT002-02,2KG BEEF CHUCK TENDER SLICED 4.5mm,0.0,0.13,1.2,,,,,2021-09-01 - 2023-09-15,2021-10-29,9.0,9.0,9.0,9.0,,4.2,0.7,5.04
BCT003,BEEF CHUCK TAIL FLAP MBS 6/7-CHILLED,0.0,0.22,14.6,2021-09-01 - 2023-09-15,2021-12-01,58.9,52.4,2021-09-01 - 2023-09-15,2021-09-14,67.0,67.0,67.0,67.0,14.5,9.45,1.58,137.97
BCT003-01,BEEF CHUCK TAIL FLAP MBS 8/9-CHILLED,0.0,0.21,20.0,2021-09-01 - 2023-09-15,2021-10-26,75.0,75.0,2021-09-01 - 2023-09-15,2021-10-15,95.0,95.0,95.0,95.0,39.84,7.92,1.32,158.4
BCT003-02,BEEF CHUCK TAIL FLAP GRAINFED AUST ANGUS,0.0,0.09,2.0,,,,,2021-09-01 - 2023-09-15,2021-09-02,22.0,22.0,22.0,22.0,,4.38,0.73,8.76
BCT004,BEEF CHUCK TENDER QUALITY,0.0,0.03,0.23,2023-03-01 - 2023-09-15,2023-04-10,7.6,7.55,2023-03-01 - 2023-09-15,2023-04-10,8.0,8.0,7.8,7.8,1410.73,2385.86,397.64,623.98
BEER01,BEER- HEINEKEN 490ML X 24CANS/CTNS,37.0,0.14,0.56,2021-09-01 - 2023-09-15,2021-10-21,3.44,3.44,2021-09-01 - 2023-09-15,2022-02-05,4.0,4.0,4.0,4.0,48.0,318.0,53.0,178.08
BER001,BEEF EYEROUND,91.08,-0.02,-0.3,2023-03-01 - 2023-09-15,2023-08-28,12.5,12.5,2023-03-01 - 2023-09-15,2023-09-10,14.5,15.5,13.8,12.8,516.54,1397.5,232.92,-6666.24
