date,customer_code,customer_name,item_code,description,quantity,currency,selling_price,document_no,total,latest_purchase_price,median_price,avg_price,min_price,max_price,latest_profit_per_uom,median_profit_per_uom,avg_profit_per_uom,max_profit_per_uom,min_profit_per_uom,latest_total_profit,median_total_profit,avg_total_profit,max_total_profit,min_total_profit,latest_pc1,median_pc1,avg_pc1,max_pc1,min_pc1
2022-10-04,UCT0127,T&L INDUSTRIES PTE LTD,PSKI01,PORK SKIN 5kg/pkt,5.0,SGD,0.7,22210845,3.5,1.0,0.8,0.7784615384615385,0.5,1.0,-0.30000000000000004,-0.10000000000000009,-0.07846153846153858,0.19999999999999996,-0.30000000000000004,-1.5000000000000002,-0.5000000000000004,-0.3923076923076929,0.9999999999999998,-1.5000000000000002,-0.42857142857142866,-0.142857142857143,-0.11208791208791227,0.28571428571428564,-0.42857142857142866
2022-11-04,UCT0127,T&L INDUSTRIES PTE LTD,PSKI01,PORK SKIN 5kg/pkt,5.0,SGD,0.7,22223351,3.5,1.0,0.8,0.7784615384615385,0.5,1.0,-0.30000000000000004,-0.10000000000000009,-0.07846153846153858,0.19999999999999996,-0.30000000000000004,-1.5000000000000002,-0.5000000000000004,-0.3923076923076929,0.9999999999999998,-1.5000000000000002,-0.42857142857142866,-0.142857142857143,-0.11208791208791227,0.28571428571428564,-0.42857142857142866
2022-11-08,UCT0127,T&L INDUSTRIES PTE LTD,PSKI01,PORK SKIN 5kg/pkt,5.0,SGD,0.7,22224925,3.5,1.0,0.8,0.7784615384615385,0.5,1.0,-0.30000000000000004,-0.10000000000000009,-0.07846153846153858,0.19999999999999996,-0.30000000000000004,-1.5000000000000002,-0.5000000000000004,-0.3923076923076929,0.9999999999999998,-1.5000000000000002,-0.42857142857142866,-0.142857142857143,-0.11208791208791227,0.28571428571428564,-0.42857142857142866
2022-11-09,UCT0127,T&L INDUSTRIES PTE LTD,PSKI01,PORK SKIN 5kg/pkt,5.0,SGD,0.7,22224974,3.5,1.0,0.8,0.7784615384615385,0.5,1.0,-0.30000000000000004,-0.10000000000000009,-0.07846153846153858,0.19999999999999996,-0.30000000000000004,-1.5000000000000002,-0.5000000000000004,-0.3923076923076929,0.9999999999999998,-1.5000000000000002,-0.42857142857142866,-0.142857142857143,-0.11208791208791227,0.28571428571428564,-0.42857142857142866
2022-11-13,UCT0127,T&L INDUSTRIES PTE LTD,PSKI01,PORK SKIN 5kg/pkt,5.0,SGD,0.7,22226939,3.5,1.0,0.8,0.7784615384615385,0.5,1.0,-0.30000000000000004,-0.10000000000000009,-0.07846153846153858,0.19999999999999996,-0.30000000000000004,-1.5000000000000002,-0.5000000000000004,-0.3923076923076929,0.9999999999999998,-1.5000000000000002,-0.42857142857142866,-0.142857142857143,-0.11208791208791227,0.28571428571428564,-0.42857142857142866
2022-11-18,UCT0127,T&L INDUSTRIES PTE LTD,PSKI01,PORK SKIN 5kg/pkt,5.0,SGD,0.7,22229002,3.5,1.0,0.8,0.7784615384615385,0.5,1.0,-0.30000000000000004,-0.10000000000000009,-0.07846153846153858,0.19999999999999996,-0.30000000000000004,-1.5000000000000002,-0.5000000000000004,-0.3923076923076929,0.9999999999999998,-1.5000000000000002,-0.42857142857142866,-0.142857142857143,-0.11208791208791227,0.28571428571428564,-0.42857142857142866
2022-11-28,UCT0127,T&L INDUSTRIES PTE LTD,PSKI01,PORK SKIN 5kg/pkt,5.0,SGD,0.7,22232378,3.5,1.0,0.8,0.7784615384615385,0.5,1.0,-0.30000000000000004,-0.10000000000000009,-0.07846153846153858,0.19999999999999996,-0.30000000000000004,-1.5000000000000002,-0.5000000000000004,-0.3923076923076929,0.9999999999999998,-1.5000000000000002,-0.42857142857142866,-0.142857142857143,-0.11208791208791227,0.28571428571428564,-0.42857142857142866
2022-10-03,UCJ0146,JIN DIING FOODSTUFF SUPPLIER PTE LTD,SCA007-02,SEAFOOD- BOILED SEA SCALLOP MEAT 80/100 10X1KG/CTNS,100.0,SGD,9.8,22208151,980.0000000000001,11.5,11.5,11.5,11.5,11.5,-1.6999999999999993,-1.6999999999999993,-1.6999999999999993,-1.6999999999999993,-1.6999999999999993,-169.99999999999994,-169.99999999999994,-169.99999999999994,-169.99999999999994,-169.99999999999994,-0.17346938775510196,-0.17346938775510196,-0.17346938775510196,-0.17346938775510196,-0.17346938775510196
2022-10-01,UCY0132,YGF FOOD CONCEPTS PTE LTD,SCA007-02,SEAFOOD- BOILED SEA SCALLOP MEAT 80/100 10X1KG/CTNS,4.0,SGD,9.5,22209082,38.0,11.5,11.5,11.5,11.5,11.5,-2.0,-2.0,-2.0,-2.0,-2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367
2022-10-01,UCY0118,YGF FOOD CONCEPTS PTE LTD,SCA007-02,SEAFOOD- BOILED SEA SCALLOP MEAT 80/100 10X1KG/CTNS,4.0,SGD,9.5,22209087,38.0,11.5,11.5,11.5,11.5,11.5,-2.0,-2.0,-2.0,-2.0,-2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367
