item_code,description,purchase_count,avg_price,min_price,median_price,max_price,latest_purchase_price,latest_purchase_date,total_qty,total_pv,num_suppliers
SPH002,SEAFOOD- PRAWN HEAD/SHELL BULK 2X5KG/CTNS,3.0,2.0,2.0,2.0,2.0,2.0,2022-12-16,260.0,520.0,1
SPH004,SEAFOOD- PRAWN HEAD/SHELL (VANNAMEI) 10x1kg/pkt,12.0,1.7500000000000002,1.6,1.8,1.8,1.8,2022-12-28,1950.0,3430.0,2
SPR001-02,SEAFOOD- PRAWN MEAT PTO 31/40 10X1KG/CTNS (A121/122),7.0,7.5,7.5,7.5,7.5,7.5,2022-12-25,340.0,2550.0,1
SPR001-04,SEAFOOD- PRAWN MEAT PTO 31/40 (OCEAN ON THE ROAD) 10X1kg/pkt,1.0,7.5,7.5,7.5,7.5,7.5,2022-12-06,10.0,75.0,1
SPR001-05,SEAFOOD- PRAWN MEAT PTO 31/40 (IQF-BLUE PRAWN) 10X1kg/pkt,3.0,7.5,7.5,7.5,7.5,7.5,2022-12-04,30.0,225.0,1
SPR004-02,SEAFOOD- PRAWN MEAT PTO 21/25 (OCEAN ON THE ROAD) 10X1kg/pkt,1.0,5.8,5.8,5.8,5.8,5.8,2022-12-31,150.0,870.0,1
SQC001,SEAFOOD- SQUID CUT WITH SKIN 6X2KG/CTNS,4.0,3.3,3.3,3.3,3.3,3.3,2022-12-19,3336.0,11008.8,1
SQC003,SEAFOOD- CUTTLEFISH CUT WITH SKIN 2KGX6PKT **RED BAG**,1.0,6.1,6.1,6.1,6.1,6.1,2022-10-31,12.0,73.19999999999999,1
SQU0010-02,SEAFOOD- TAKO TENTACLES 5-8pcs/kg 10X1KG/CTNS,3.0,3.2533333333333334,2.46,3.5,3.8,2.46,2022-10-15,6300.0,15840.0,3
SQU003-05,SEAFOOD- SQUID WHOLE ROUND (10INCH UP) 5kgX2 10kg/ctn,14.0,9.5,9.5,9.5,9.5,9.5,2022-12-31,2000.0,19000.0,1
SQU004,SEAFOOD- FRESH SQUID,1.0,13.5,13.5,13.5,13.5,13.5,2022-12-15,10.0,135.0,1
SQU005-03,SEAFOOD- BABY SQUID 4-5CM 2KG/PKT,1.0,5.5,5.5,5.5,5.5,5.5,2022-11-22,10.0,55.0,1
SQU006-04,SEAFOOD- SOTONG FLOWER 1kgX10pkt,5.0,2.858,1.89,3.0,3.2,3.0,2022-12-27,6120.0,13987.2,3
SSC001-01,SEAFOOD- SOFT SHELL CRAB 1KG/PKT,3.0,16.0,14.0,17.0,17.0,14.0,2022-12-22,60.0,960.0,2
SSC002-02,SEAFOOD- FLOWER CRAB 150-200 8KG/CTNS,10.0,6.0,6.0,6.0,6.0,6.0,2022-12-31,1040.0,6240.0,1
SSC003,SEAFOOD- FROZEN MUD CRAB,1.0,28.0,28.0,28.0,28.0,28.0,2022-10-31,3.6,100.8,1
SSK003,SQUID- SQUID SKEWER 150-200GM 11pcs/pkt 6x2kg/ctns,1.0,16.78,16.78,16.78,16.78,16.78,2022-10-15,2136.0,35842.08,1
SSK004,SQUID- SQUID SKEWER 150-200GM 10X1kg/ctns,1.0,8.0,8.0,8.0,8.0,8.0,2022-10-13,100.0,800.0,1
SSR004,SEAFOOD- SOTONG RING 1kgX10pkt,1.0,2.17,2.17,2.17,2.17,2.17,2022-10-15,2000.0,4340.0,1
SSR03,SEAFOOD- CALAMARI (180pcs/ctn) 10X1kg/ctn,10.0,9.0,9.0,9.0,9.0,9.0,2022-12-20,160.0,1440.0,1
SVA0011,SEAFOOD- VANNAMEI HOSO 16-20pcs 6x2pkt/ctn,7.0,10.214285714285714,9.5,10.3,11.5,10.3,2022-12-29,782.0,7924.6,3
