vendor_code,vendor_name,item_code,description,purchase_count,avg_price,min_price,median_price,max_price,total,total_qty,latest_purchase_date,group_median_price,group_max_price,group_latest_price,num_suppliers,price_diff_from_group
UVA0001,ANGLISS SINGAPORE PTE LTD,OMO006,OTHER- MOZZARELLA STICK BREADED ORGINAL 10X1KG,1.0,15.0,15.0,15.0,15.0,450.0,30.0,2022-12-31,15.0,15.0,15.0,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OOI013C,OTHER- BLACK TRUFFLE PASTE (TARTUFI JIMMY) 500GM/JAR,1.0,15.5,15.5,15.5,15.5,31.0,2.0,2022-12-02,15.5,15.5,15.5,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OOR006,OTHER- ONION RING (LAMB WESTERN/SIMPLOT-BABY STAR) 2lbX8pkt,11.0,5.0,5.0,5.0,5.0,8600.0,1720.0,2022-12-28,5.0,5.0,5.0,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OSBS02-01,OTHER- STKY BACON SLICED (USA-ASC) 5x2kg/ctn,6.0,8.166666666666666,8.0,8.0,8.5,14540.0,1780.0,2022-12-22,8.0,10.0,8.5,2,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OSS002,OTHER- MAYONNAISE 4X3L/CTNS,1.0,16.0,16.0,16.0,16.0,64.0,4.0,2022-10-22,16.0,16.0,16.0,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OTU001,OTHER- WHOLE TURKEY 5KG/PCS,1.0,10.5,10.5,10.5,10.5,144.9,13.8,2022-12-12,10.5,10.5,10.5,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,PBEL05-03,PORK BELLY DALIA,1.0,4.5,4.5,4.5,4.5,3059.28,679.84,2022-10-22,4.5,4.5,4.5,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,PBEL05-20,PORK BELLY (COOPAVEL-BRAZIL),6.0,4.3,4.3,4.3,4.3,20246.851,4708.57,2022-10-21,4.3,4.3,4.3,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,PRIB01,PORK MEATY RIBLETS (SPAIN-10.03948/L) IWP PACKING,2.0,2.6,2.6,2.6,2.6,1768.0,680.0,2022-10-21,2.1,2.6,2.1,2,0.5
UVA0001,ANGLISS SINGAPORE PTE LTD,SCG001,CAVIAR OSIETRA CLASSIC 30G/TIN GIAVERI ITALY,1.0,53.0,53.0,53.0,53.0,53.0,1.0,2022-12-05,53.0,53.0,53.0,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,SOYS03-02,SEAFOOD- OYSTER WHOLE WITH SHELL JAPAN M 144PCS/CTNS,2.0,0.94,0.94,0.94,0.94,1353.6,1440.0,2022-12-20,0.94,1.5,0.94,2,0.0
UVA0002,ALL BIG FROZEN FOOD PTE LTD,FCH002,FISH CHIP RED 500gmX20pkt,2.0,2.9,2.9,2.9,2.9,6380.0,2200.0,2022-11-29,2.9,2.9,2.9,1,0.0
UVA0003,ANG KEE FISH MERCHANT PTE LTD,OSR001,OTHER- CRISPY FOUR SEASON ROLL 5's 10x1kg/pkt,1.0,6.5,6.5,6.5,6.5,130.0,20.0,2022-12-22,6.5,6.5,6.5,1,0.0
UVA0004,ARCO MARKETING PTE LTD,DUCK04-02,DUCK- SMOKE DUCK BREAST (ORIGINAL) 220gm/pcsS,5.0,9.0,9.0,9.0,9.0,4176.0,464.0,2022-12-20,9.0,9.5,9.0,2,0.0
UVA0004,ARCO MARKETING PTE LTD,FSA002-01,FISH- SABA FILLET 5KG/CTNS (35P),2.0,8.0,8.0,8.0,8.0,400.0,50.0,2022-11-09,8.0,8.0,8.0,1,0.0
UVA0017,ARGENTRADE INTERNATIONAL  B.V,PBEL06-02,PORK BELLY SINGLE SKINLESS (BOSELER-GERMANY) 20X50,1.0,6.3,6.3,6.3,6.3,156909.123,24906.21,2022-12-10,6.3,6.3,6.3,1,0.0
