doc_date,industry_desc,trade_suppliers_ind,active_vendor,total
2015-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,261352.0
2015-07-01,LOCAL SUPPLIERS,OTHER VENDOR,1,6234.89
2015-07-01,LOCAL SUPPLIERS,TRADE VENDOR,0,449769.49
2015-07-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1182195.05
2015-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,39750.0
2015-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,166871.24
2015-08-01,LOCAL SUPPLIERS,TRADE VENDOR,0,191978.6
2015-08-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1239117.41
2015-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,359761.4
2015-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,164859.89
2015-09-01,LOCAL SUPPLIERS,TRADE VENDOR,0,323408.3
2015-09-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1324984.8699999999
2015-09-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,181412.7
2015-10-01,LOCAL SUPPLIERS,TRADE VENDOR,0,834610.51
2015-10-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1987085.8499999999
2015-10-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,238814.43
2015-10-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,82518.53
2015-11-01,LOCAL SUPPLIERS,TRADE VENDOR,0,506331.49
2015-11-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1503677.37
2015-11-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,396826.9
2015-12-01,LOCAL SUPPLIERS,TRADE VENDOR,0,256794.34
2015-12-01,LOCAL SUPPLIERS,TRADE VENDOR,1,2079052.54
2015-12-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,39750.0
2015-12-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,207132.07
2016-01-01,LOCAL SUPPLIERS,TRADE VENDOR,0,551446.95
2016-01-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1525276.98
2016-01-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,470736.85
2016-01-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,72646.88
2016-02-01,LOCAL SUPPLIERS,TRADE VENDOR,0,124665.22
2016-02-01,LOCAL SUPPLIERS,TRADE VENDOR,1,937566.11
2016-02-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,496568.26
2016-02-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,56069.33
2016-03-01,LOCAL SUPPLIERS,TRADE VENDOR,0,292913.68
2016-03-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1657087.35
2016-03-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,112036.54
2016-03-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,230252.99
2016-04-01,LOCAL SUPPLIERS,TRADE VENDOR,0,469318.12
2016-04-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1629146.46
2016-04-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,246576.99
2016-04-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,259703.44
2016-05-01,LOCAL SUPPLIERS,OTHER VENDOR,0,2270.04
2016-05-01,LOCAL SUPPLIERS,TRADE VENDOR,0,698147.0
2016-05-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1141962.04
2016-05-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,402812.36
2016-05-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,328543.16000000003
2016-06-01,LOCAL SUPPLIERS,OTHER VENDOR,0,14806.05
2016-06-01,LOCAL SUPPLIERS,OTHER VENDOR,1,104518.68000000001
2016-06-01,LOCAL SUPPLIERS,TRADE VENDOR,0,192968.4
2016-06-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1451723.8
2016-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,444923.83
2016-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,387888.3
2016-07-01,LOCAL SUPPLIERS,OTHER VENDOR,0,23784.95
2016-07-01,LOCAL SUPPLIERS,OTHER VENDOR,1,100661.34
2016-07-01,LOCAL SUPPLIERS,TRADE VENDOR,0,192531.62
2016-07-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1573375.06
2016-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,342250.02
2016-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,179713.41
2016-08-01,LOCAL SUPPLIERS,OTHER VENDOR,0,32568.78
2016-08-01,LOCAL SUPPLIERS,OTHER VENDOR,1,121997.20000000001
2016-08-01,LOCAL SUPPLIERS,TRADE VENDOR,0,573827.9600000001
2016-08-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1955238.35
2016-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,135378.7
2016-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,462166.57999999996
2016-09-01,LOCAL SUPPLIERS,OTHER VENDOR,0,41552.24
2016-09-01,LOCAL SUPPLIERS,OTHER VENDOR,1,116535.67
2016-09-01,LOCAL SUPPLIERS,TRADE VENDOR,0,238563.3
2016-09-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1274764.83
2016-09-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,537379.19
2016-09-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,1295953.58
2016-10-01,LOCAL SUPPLIERS,OTHER VENDOR,0,29219.99
2016-10-01,LOCAL SUPPLIERS,OTHER VENDOR,1,123962.09
2016-10-01,LOCAL SUPPLIERS,TRADE VENDOR,0,354511.97
2016-10-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1714622.21
2016-10-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,332338.87
2016-10-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,302879.37
2016-11-01,LOCAL SUPPLIERS,OTHER VENDOR,0,42912.72
2016-11-01,LOCAL SUPPLIERS,OTHER VENDOR,1,142827.19
2016-11-01,LOCAL SUPPLIERS,TRADE VENDOR,0,283953.44
2016-11-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1767525.25
2016-11-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,166538.19999999998
2016-11-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,145231.24
