item_code,description,week_start,selling_price
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-17,9.0
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-24,9.0
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-31,9.0
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-11-07,9.0
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-11-21,9.0
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-11-28,9.0
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-12-05,9.0
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-12-12,9.0
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-10-10,10.5
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-11-14,10.5
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-12-05,10.5
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-12-19,9.5
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-12-26,9.5
BER002,BEEF EYEROUND CHILLED NZ-SLIVERFIRM,2022-10-03,14.5
BER002,BEEF EYEROUND CHILLED NZ-SLIVERFIRM,2022-10-10,14.5
BFC001,BEEF FATS 25KG/CTNS,2022-11-07,5.0
BFC001,BEEF FATS 25KG/CTNS,2022-11-14,5.0
BFC001,BEEF FATS 25KG/CTNS,2022-11-21,5.0
BFC001,BEEF FATS 25KG/CTNS,2022-11-28,5.0
BFC001,BEEF FATS 25KG/CTNS,2022-12-05,5.0
BFC001,BEEF FATS 25KG/CTNS,2022-12-12,5.0
BFC001,BEEF FATS 25KG/CTNS,2022-12-19,5.0
BFC001,BEEF FATS 25KG/CTNS,2022-12-26,5.0
BFC003,BEEF FLOSS 2KG/PKT,2022-10-03,9.9
BFC003,BEEF FLOSS 2KG/PKT,2022-10-10,9.9
BFC003,BEEF FLOSS 2KG/PKT,2022-10-17,9.9
BFC003,BEEF FLOSS 2KG/PKT,2022-10-24,9.9
BFC003,BEEF FLOSS 2KG/PKT,2022-10-31,8.8
BFC003,BEEF FLOSS 2KG/PKT,2022-11-07,8.8
BFC003,BEEF FLOSS 2KG/PKT,2022-11-14,8.8
BFC003,BEEF FLOSS 2KG/PKT,2022-11-21,8.8
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-03,5.0
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-10,5.0
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-17,5.0
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-24,5.0
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-31,5.0
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-11-07,5.0
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-11-21,4.5
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-12-12,4.05
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-12-19,3.9
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-10-10,6.0
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-11-28,6.0
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-09-26,8.0
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-03,8.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-10,8.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-17,7.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-24,8.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-31,7.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-11-07,7.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-11-14,7.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-11-21,9.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-11-28,7.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-12-05,7.5
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-12-19,7.5
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-09-26,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-03,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-10,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-17,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-24,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-31,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-11-07,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-11-14,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-11-21,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-11-28,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-12-05,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-12-12,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-12-19,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-12-26,13.0
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-11-21,4.5
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-11-28,4.2
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-12-05,4.2
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-12-19,4.2
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-12-26,5.7
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-10-10,7.15
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-10-17,5.9
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-10-24,5.5
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-10-31,4.8
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-11-07,4.6
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-11-14,5.0
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-11-21,5.9
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-11-28,4.6
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-12-12,5.9
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-12-26,5.4
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-09-26,15.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-03,15.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-10,15.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-17,15.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-24,15.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-31,14.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-11-07,15.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-11-14,13.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-11-21,15.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-11-28,13.75
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-12-05,12.85
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-12-12,12.7
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-12-19,13.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-12-26,12.7
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-10-17,15.0
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-11-07,14.0
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-11-14,16.5
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-11-21,15.15
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-11-28,16.5
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-12-05,16.5
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-12-12,16.5
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-12-19,16.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-09-26,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-03,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-10,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-17,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-24,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-31,9.5
