item_code,description,date,sales_price,purchase_price
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-11-27,6.8,
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-12-04,8.0,
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-12-11,7.4,
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-12-18,8.0,
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-12-25,8.0,
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2023-01-01,8.0,
BCR001,BEEF CHUCK BRAZIL,2022-10-09,7.8,7.2
BCR001,BEEF CHUCK BRAZIL,2022-10-16,7.8,
BCR001,BEEF CHUCK BRAZIL,2022-10-23,7.8,7.2
BCR001,BEEF CHUCK BRAZIL,2022-10-30,7.8,
BCR001,BEEF CHUCK BRAZIL,2022-11-06,7.8,
BCR001,BEEF CHUCK BRAZIL,2022-11-13,7.8,7.2
BCR001,BEEF CHUCK BRAZIL,2022-11-20,7.8,
BCR001,BEEF CHUCK BRAZIL,2022-11-27,7.8,7.2
BCR001,BEEF CHUCK BRAZIL,2022-12-04,7.8,
BCR001,BEEF CHUCK BRAZIL,2022-12-11,7.8,
BCR001,BEEF CHUCK BRAZIL,2022-12-18,7.8,7.2
BCR001,BEEF CHUCK BRAZIL,2022-12-25,7.8,
BCR001,BEEF CHUCK BRAZIL,2023-01-01,7.8,7.2
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-09,9.0,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-16,9.0,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-23,9.0,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-30,9.0,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-11-06,9.0,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-11-13,9.0,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-11-20,,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-11-27,,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-12-04,9.0,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-12-11,9.0,
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-12-18,9.0,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-10-16,10.5,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-10-23,,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-10-30,,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-11-06,,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-11-13,,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-11-20,10.5,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-11-27,,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-12-04,,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-12-11,10.5,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-12-18,,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-12-25,9.5,
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2023-01-01,9.5,
BER002,BEEF EYEROUND CHILLED NZ-SLIVERFIRM,2022-10-09,14.5,13.5
BER002,BEEF EYEROUND CHILLED NZ-SLIVERFIRM,2022-10-16,14.5,13.5
BFC001,BEEF FATS 25KG/CTNS,2022-11-13,5.0,4.0
BFC001,BEEF FATS 25KG/CTNS,2022-11-20,5.0,
BFC001,BEEF FATS 25KG/CTNS,2022-11-27,5.0,
BFC001,BEEF FATS 25KG/CTNS,2022-12-04,5.0,4.0
BFC001,BEEF FATS 25KG/CTNS,2022-12-11,5.0,
BFC001,BEEF FATS 25KG/CTNS,2022-12-18,5.0,
BFC001,BEEF FATS 25KG/CTNS,2022-12-25,5.0,4.0
BFC001,BEEF FATS 25KG/CTNS,2023-01-01,5.0,
BFC003,BEEF FLOSS 2KG/PKT,2022-10-09,9.9,
BFC003,BEEF FLOSS 2KG/PKT,2022-10-16,9.9,
BFC003,BEEF FLOSS 2KG/PKT,2022-10-23,9.9,
BFC003,BEEF FLOSS 2KG/PKT,2022-10-30,9.9,
