item_code,description,date,quantity,purchase_quantity
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-10-01,665.0,0.0
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-11-01,165.0,0.0
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-12-01,175.0,0.0
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-01,885.0,150.0
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-11-01,255.0,100.0
BKN004,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-01,20.0,200.0
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-01,90.0,130.0
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-01,660.0,300.0
BLI001,BEEF LIVER,2022-12-01,23.09,23.09
BLU001,BEEF LUNG,2022-11-01,40.9,30.049999999999997
BMB001,BEEF MARROW BONE 5KG/PKT,2022-12-01,6.4,0.0
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-01,2290.0,701.715
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-11-01,2486.4,551.68
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-12-01,2680.0,826.975
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-01,438.0,50.0
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-11-01,850.0,0.0
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-12-01,1086.0,61.0
BMI003,BEEF- TRIMMING MINCED BEEF,2022-11-01,100.0,100.0
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-01,1348.0,300.0
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-11-01,403.0,200.0
BMI006,BEEF- MINCED BEEF (TUDBOM-SA) 500gmX24pkt,2022-10-01,240.0,240.0
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-10-01,110.0,100.0
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-11-01,595.0,150.0
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-12-01,1924.0,300.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-10-01,210.0,0.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-11-01,15.0,0.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-12-01,200.0,0.0
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-10-01,402.0,0.0
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-11-01,189.0,0.0
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-12-01,483.0,0.0
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),2022-10-01,22.0,0.0
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),2022-11-01,0.0,409.93
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),2022-12-01,5.7,379.08
BMS001,BEEF MEAT SLICED 6X2KG/CTNS [HALAL],2022-11-01,2.0,2.0
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-10-01,4224.0,0.0
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-11-01,4782.0,0.0
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-12-01,4454.0,0.0
BMS003,BEEF MEAT SLICED 2-3MM 2kgX5pkt,2022-10-01,2754.0,0.0
BMS003,BEEF MEAT SLICED 2-3MM 2kgX5pkt,2022-11-01,2434.0,0.0
BMS003,BEEF MEAT SLICED 2-3MM 2kgX5pkt,2022-12-01,1840.0,0.0
BMS003-02,BEEF MEAT SLICED 2MM 1KG/PKT,2022-10-01,100.0,0.0
BMS003-02,BEEF MEAT SLICED 2MM 1KG/PKT,2022-11-01,0.0,0.0
BMS003-02,BEEF MEAT SLICED 2MM 1KG/PKT,2022-12-01,130.0,0.0
BMS004,BEEF KNUCKLE MEAT SLICED 4-5MM 2kg/pkt,2022-10-01,110.0,0.0
BMS004,BEEF KNUCKLE MEAT SLICED 4-5MM 2kg/pkt,2022-11-01,130.0,0.0
BMS004,BEEF KNUCKLE MEAT SLICED 4-5MM 2kg/pkt,2022-12-01,102.0,0.0
BMS005,BEEF KNUCKLE MEAT SLICED 6MM 2kg/pkt,2022-10-01,22.0,0.0
BMS005,BEEF KNUCKLE MEAT SLICED 6MM 2kg/pkt,2022-11-01,22.0,0.0
BMS005,BEEF KNUCKLE MEAT SLICED 6MM 2kg/pkt,2022-12-01,26.0,0.0
BMS008,BEEF MEAT SLICED 8MM 2kg/pkt,2022-10-01,6.0,0.0
BMS008,BEEF MEAT SLICED 8MM 2kg/pkt,2022-11-01,26.0,0.0
BMS008,BEEF MEAT SLICED 8MM 2kg/pkt,2022-12-01,18.0,0.0
BMS008-01,BEEF MEAT SLICED 2MM X 3' X 1.5' 1KG/PKT,2022-10-01,4970.0,0.0
BMS008-01,BEEF MEAT SLICED 2MM X 3' X 1.5' 1KG/PKT,2022-11-01,5256.0,0.0
BMS008-01,BEEF MEAT SLICED 2MM X 3' X 1.5' 1KG/PKT,2022-12-01,5386.0,0.0
BOM001,BEEF OMASUM 17KG/CTNS,2022-10-01,371.6,340.0
BOM001,BEEF OMASUM 17KG/CTNS,2022-11-01,97.56,97.56
