pdt_code,pdt_name,current_inv,summary_purchases_date_range,summary_purchases_min_price,summary_purchases_max_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_min_price,summary_sales_max_price
OOI010,,,2021-09-01 - 2023-09-08,4.4,4.4,2021-09-01 - 2023-09-08,2022-02-10,4.8,4.8,4.8
OOI011,,,2021-09-01 - 2023-09-08,2.5,2.5,2021-09-01 - 2023-09-08,2023-02-22,2.6,2.2,3.2
OOI011-02,,,,,,2021-09-01 - 2023-09-08,2021-12-04,6.2,6.2,6.2
OOI012,,,2021-09-01 - 2023-09-08,0.45,0.45,2021-09-01 - 2023-09-08,2022-02-13,0.5,0.45,0.6
OOI012-02,,,2021-09-01 - 2023-09-08,12.0,12.0,2021-09-01 - 2023-09-08,2021-12-06,36.45,12.2,36.45
OOI012-03,,,,,,2021-09-01 - 2023-09-08,2022-10-28,0.4,0.4,1.05
OOI012-04,,,,,,2023-03-01 - 2023-09-08,2023-07-08,1.5,1.5,1.5
OOI013,,,2021-09-01 - 2023-09-08,18.0,18.0,2021-09-01 - 2023-09-08,2021-10-18,22.0,22.0,22.0
OOI013B,,,2021-09-01 - 2023-09-08,18.0,18.0,2023-03-01 - 2023-09-08,2023-04-05,22.0,22.0,22.0
OOI013C,,,2023-03-01 - 2023-09-08,15.5,15.5,2023-03-01 - 2023-09-08,2023-09-01,22.0,20.0,22.0
OOI014,,,2021-09-01 - 2023-09-08,20.17,20.17,2021-09-01 - 2023-09-08,2022-01-13,23.5,23.5,23.5
OOI015,,,2021-09-01 - 2023-09-08,13.75,13.75,2021-09-01 - 2023-09-08,2022-01-21,16.0,16.0,16.0
OOI015C,,,,,,2021-09-01 - 2023-09-08,2021-10-20,17.3,17.3,17.3
OOI015E,,,2021-09-01 - 2023-09-08,6.1,6.1,2021-09-01 - 2023-09-08,2022-09-19,7.0,6.3,8.4
OOI015G,,,2021-09-01 - 2023-09-08,7.05,7.05,2021-09-01 - 2023-09-08,2021-12-25,9.9,9.9,9.9
OOI016,,,2021-09-01 - 2023-09-08,16.5,16.5,2021-09-01 - 2023-09-08,2022-01-15,17.2,17.2,17.2
OOI017-02,,,,,,2021-09-01 - 2023-09-08,2021-10-25,5.1,5.1,5.1
OOI017-03,,,2021-09-01 - 2023-09-08,1.5,1.5,2021-09-01 - 2023-09-08,2022-01-13,2.2,2.2,2.2
OOI019,,,2021-09-01 - 2023-09-08,4.0,4.3,2021-09-01 - 2023-09-08,2022-10-28,4.3,4.3,6.0
OOI020,,,2021-09-01 - 2023-09-08,14.5,14.5,2021-09-01 - 2023-09-08,2022-01-24,15.0,15.0,15.0
OOI021,,,,,,2021-09-01 - 2023-09-08,2021-10-27,6.7,6.7,6.7
OOI021-02,,,2021-09-01 - 2023-09-08,7.0,7.0,2021-09-01 - 2023-09-08,2021-10-27,8.9,8.9,8.9
OOI022-04,,,2021-09-01 - 2023-09-08,9.0,9.0,2021-09-01 - 2023-09-08,2021-10-14,10.0,10.0,10.0
OOI024,,,,,,2023-03-01 - 2023-09-08,2023-04-12,3.5,3.5,3.5
OOI027,,,,,,2021-09-01 - 2023-09-08,2021-11-01,3.5,3.5,3.5
OOI029,,,,,,2021-09-01 - 2023-09-08,2022-12-11,3.55,3.55,3.55
OOI031-02,,,,,,2021-09-01 - 2023-09-08,2022-09-01,2.34,2.34,2.62
OOI033,,,2021-09-01 - 2023-09-08,0.7,0.7,2021-09-01 - 2023-09-08,2021-11-30,0.9,0.9,0.9
OOI034,,,2021-09-01 - 2023-09-08,0.8,0.8,2021-09-01 - 2023-09-08,2022-02-15,1.0,1.0,1.0
OOI035,,,2021-09-01 - 2023-09-08,9.0,9.0,2021-09-01 - 2023-09-08,2022-02-12,10.0,10.0,10.0
OOI036,,,2021-09-01 - 2023-09-08,1.15,1.2,2021-09-01 - 2023-09-08,2022-02-03,1.3,1.3,1.5
OOP001,,,2021-09-01 - 2023-09-08,70.5,70.5,2021-09-01 - 2023-09-08,2022-02-23,78.0,78.0,78.0
OOP002,,,2021-09-01 - 2023-09-08,40.5,40.5,2021-09-01 - 2023-09-08,2021-11-22,45.5,45.5,45.5
OOP002-02,,,2021-09-01 - 2023-09-08,51.0,51.0,2021-09-01 - 2023-09-08,2021-11-14,56.7,56.7,56.7
OOP003,,,2021-09-01 - 2023-09-08,54.0,54.0,2021-09-01 - 2023-09-08,2022-02-04,60.0,60.0,60.0
OOP004,,,2021-09-01 - 2023-09-08,28.0,28.0,2021-09-01 - 2023-09-08,2022-02-04,31.2,31.2,31.2
OOP005,,,,,,2021-09-01 - 2023-09-08,2021-09-30,44.5,44.5,44.5
OOP006,,,2021-09-01 - 2023-09-08,30.0,30.0,2021-09-01 - 2023-09-08,2021-09-30,33.5,33.5,33.5
OOP012,,,,,,2021-09-01 - 2023-09-08,2021-10-28,90.0,90.0,90.0
OOP019,,,,,,2021-09-01 - 2023-09-08,2021-10-28,34.0,34.0,34.0
OOP021,,,2021-09-01 - 2023-09-08,12.0,12.0,2021-09-01 - 2023-09-08,2021-10-28,13.3,13.3,13.3
OOP022,,,,,,2021-09-01 - 2023-09-08,2021-09-16,61.2,61.2,61.2
OOP023,,,2021-09-01 - 2023-09-08,12.0,12.0,2021-09-01 - 2023-09-08,2021-09-17,12.5,12.5,12.5
OOP024,,,2021-09-01 - 2023-09-08,10.0,10.0,2021-09-01 - 2023-09-08,2021-10-04,11.1,11.1,11.1
OOP025,,,,,,2021-09-01 - 2023-09-08,2021-11-19,4.8,4.8,4.8
OOR006,,,2023-03-01 - 2023-09-08,5.0,5.0,2023-03-01 - 2023-09-08,2023-09-07,5.5,0.01,9.68
OOW001,,,2023-03-01 - 2023-09-08,7.5,8.0,2023-03-01 - 2023-09-08,2023-09-03,10.5,8.0,11.0
OOW002,,,2023-03-01 - 2023-09-08,4.8,4.8,2023-03-01 - 2023-09-08,2023-07-16,3.8,3.8,11.0
