pdt_code,pdt_name,current_inv,summary_purchases_date_range,summary_purchases_min_price,summary_purchases_max_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_max_price
FSF004,FISH- SUTCHI FILLET 230-300gm 6kg(TWIN) DL 478,0.0,2023-02-01 - 2023-08-30,13.13,14.68,2023-02-01 - 2023-08-30,2023-08-19,16.8,22.0
FSF004-04,FISH- SUTCHI FILLET 300-400gm 6kg/ctn,369.0,2023-02-01 - 2023-08-30,13.25,14.08,2023-02-01 - 2023-08-30,2023-07-21,16.5,22.0
FSF004-07,FISH- SUTCHI FILLET 400-600gm 6kg/ctn (DL 717),0.0,,,,2021-08-01 - 2023-08-30,2021-09-10,18.9,18.9
FSF004-08,FISH- SUTCHI FILLET 400-600gm 6kg/ctn (TWIN) DL 478,5794.0,2023-02-01 - 2023-08-30,12.78,14.72,2023-02-01 - 2023-08-30,2023-08-29,20.55,26.0
FSF005-02,FISH- SUTCHI STEAK 80-100gm 2kgX5pkt,9270.0,2023-02-01 - 2023-08-30,1.8,2.28,2023-02-01 - 2023-08-30,2023-08-29,3.22,3.8
FSF005-04,FISH- SUTCHI STEAK 90-110gm WHITE BOX 2kgX5pkt,0.0,2021-08-01 - 2023-08-30,2.7,2.7,2021-08-01 - 2023-08-30,2021-09-24,2.8,2.8
FSF006,FISH- SUTCHI STEAK 60-80gm(DL 478) 2kgX5pkt,3770.0,2023-02-01 - 2023-08-30,1.9,2.39,2023-02-01 - 2023-08-30,2023-08-27,3.7,3.8
FSF006-03,FISH- SUTCHI STEAK 80-100gm (TWIN FISH/BIG FISH) 10X1kg/ctn,0.0,2021-08-01 - 2023-08-30,2.71,2.71,2023-02-01 - 2023-08-30,2023-05-12,4.8,4.8
FSF006-04,FISH- SUTCHI STEAK 60-80gm (TWIN FISH/BIG FISH) 10X1kg/ctn,2600.0,2023-02-01 - 2023-08-30,2.17,2.58,2023-02-01 - 2023-08-30,2023-08-25,4.8,4.8
FSF010-02,FISH- 7KG!! SUTCHI FILLET 400-600 7kg/ctn,562.0,2023-02-01 - 2023-08-30,15.46,16.74,2023-02-01 - 2023-08-30,2023-08-28,21.5,28.0
FSF010-03,FISH- BUTTERFLY CUT 600-800gm 12PCS 10kg/ctns,10160.0,2023-02-01 - 2023-08-30,2.02,2.21,2023-02-01 - 2023-08-30,2023-08-26,3.9,4.0
FSF010-04,FISH- BUTTERFLY CUT 700-900gm 10/ctns,9040.7,2023-02-01 - 2023-08-30,1.93,3.1,2023-02-01 - 2023-08-30,2023-08-29,3.33,4.4
FSF010-05,FISH- SUTCHI FILLET BUTTERFLY CUT 600-800gm (NOS),62.0,,,,2023-02-01 - 2023-08-30,2023-08-19,3.5,4.5
FSF010-06,FISH- BUTTERFLY CUT 900-1000gm 10kg/ctn,9340.4,2023-02-01 - 2023-08-30,0.0,3.5,2023-02-01 - 2023-08-30,2023-08-29,3.2,4.4
FSF010-07,FISH- BUTTERFLY CUT 900-1000gm 10kg/ctn,80.0,2023-02-01 - 2023-08-30,3.1,3.5,2023-02-01 - 2023-08-30,2023-08-29,3.8,3.8
FSF010-08,FISH- BUTTERFLY CUT 500-700gm 14PCS 10kg/ctn,8340.0,2023-02-01 - 2023-08-30,1.93,2.14,2023-02-01 - 2023-08-30,2023-08-29,3.79,4.0
FSF010-09,FISH- SUTCHI FILLET BUTTERFLY CUT 700-900gm (NOS),138.0,2023-02-01 - 2023-08-30,6.0,6.0,2023-02-01 - 2023-08-30,2023-08-28,7.5,7.8
FSH001,FISH- SHARK FILLET SK 10KG/CTNS,40.0,2023-02-01 - 2023-08-30,5.5,5.5,2023-02-01 - 2023-08-30,2023-07-27,6.5,6.5
FSH001-01,FISH- SHARK FILLET 300GM UP 15KG/CTNS,14.7,2023-02-01 - 2023-08-30,5.0,5.5,2023-02-01 - 2023-08-30,2023-07-12,6.0,6.0
FSH003,FISH- SOON HOCK FISH,0.0,2021-08-01 - 2023-08-30,18.0,40.0,2021-08-01 - 2023-08-30,2023-01-20,60.0,60.0
FSH004,FISH- SONG FISH HEAD,0.0,2023-02-01 - 2023-08-30,6.0,6.0,2023-02-01 - 2023-08-30,2023-08-26,7.5,7.5
FSI001,FISH- SHISHAMO 120gm 30pkt/ctn,202.0,2023-02-01 - 2023-08-30,1.8,3.0,2023-02-01 - 2023-08-30,2023-08-28,2.4,2.6
FSI002,FISH- SHISHAMO 8s/tray 170gm 30pkt/ctn,0.0,2023-02-01 - 2023-08-30,2.5,2.5,2023-02-01 - 2023-08-30,2023-06-12,3.0,3.0
FSN001,FISH- FRESH TOMAN FILLET SLICED (U),0.0,2023-02-01 - 2023-08-30,13.0,14.0,2023-02-01 - 2023-08-30,2023-08-08,15.0,15.0
FSN001-02,XXXXXFISH- TOMAN FILLET 300/500 1kg x 10pkt,0.0,,,,2021-08-01 - 2023-08-30,2022-11-14,9.13,11.0
FSN001-03,FISH- TOMAN FILLET 300/500,985.24,2023-02-01 - 2023-08-30,6.35,10.0,2023-02-01 - 2023-08-30,2023-08-28,7.0,80.0
FSN001-04,FISH- TOMAN FILLET 300/500 6KG/CTNS,0.0,2021-08-01 - 2023-08-30,7.5,7.5,2021-08-01 - 2023-08-30,2022-11-06,10.0,11.0
FSN002,FISH- TOMAN FILLET CUT SLICED 200GM/TRAY,19.0,2021-08-01 - 2023-08-30,3.5,3.5,2021-08-01 - 2023-08-30,2022-07-19,3.6,5.89
FSN002-02,FISH- TOMAN FILLET CUT SLICED (SKIN-ON) 4MM 10X1KG/CTNS,6510.0,2023-02-01 - 2023-08-30,6.5,7.0,2023-02-01 - 2023-08-30,2023-08-28,9.81,12.87
FSN002-03,FISH- TOMAN SLICED SKIN-ON 4MM 10X1KG/CTNS OKEANOSS,38.0,2023-02-01 - 2023-08-30,7.0,8.0,2023-02-01 - 2023-08-30,2023-08-26,9.0,9.5
FSN002-04,FISH- TOMAN FILLET CUT SLICED (SKIN-ON) 4MM 10X1KG/CTNS,0.0,2021-08-01 - 2023-08-30,6.48,11.5,2021-08-01 - 2023-08-30,2022-12-30,10.5,12.5
FSN003,FISH- FRESH TOMAN FILLET,9.0,2023-02-01 - 2023-08-30,10.0,14.0,2023-02-01 - 2023-08-30,2023-08-27,13.0,13.5
FSN004,FISH- TOMAN HEAD 2kg x 5pkt,0.0,,,,2021-08-01 - 2023-08-30,2022-04-13,6.0,6.0
FSN005,FISH- TOMAN HEAD FRESH,0.0,2021-08-01 - 2023-08-30,3.0,5.5,2021-08-01 - 2023-08-30,2022-09-15,4.5,6.0
FSN006,FISH- TOMAN FISH (CLEAN AND GUTTED) 10kg/ctn,0.0,2021-08-01 - 2023-08-30,9.5,9.5,2021-08-01 - 2023-08-30,2021-11-15,9.7,9.7
FSN008-01,FISH- TOMAN FILLET 300/500 6kg/ctns (PAN ROYAL),0.0,2021-08-01 - 2023-08-30,6.5,7.0,2021-08-01 - 2023-08-30,2022-01-14,10.0,10.0
FSR001,FISH- STING RAY 1000-2000gm 10KG/CTNS,590.0,2023-02-01 - 2023-08-30,9.0,10.0,2023-02-01 - 2023-08-30,2023-08-24,10.0,12.0
FSR002,FISH- STING RAY 500-1000gm 10kg/ctn,90.0,2023-02-01 - 2023-08-30,9.0,10.0,2023-02-01 - 2023-08-30,2023-08-27,10.5,10.5
FSR005,FRESH STRING RAY,0.0,2023-02-01 - 2023-08-30,11.5,11.5,2023-02-01 - 2023-08-30,2023-08-13,13.0,13.0
FSR007,FISH- STING RAY BLUE SPOT 200-300gm 10kg/ctn,0.0,2021-08-01 - 2023-08-30,8.8,8.8,2021-08-01 - 2023-08-30,2021-12-28,7.0,7.8
FSR008,FISH- STING RAY BLUE SPOT 500-1000gm 15kg/ctn,0.0,2023-02-01 - 2023-08-30,6.7,10.3,2023-02-01 - 2023-08-30,2023-06-22,9.0,11.0
FSS001,FISH- SLIVER SILLAGO,0.0,,,,2021-08-01 - 2023-08-30,2021-08-13,6.0,6.0
FSS003,FISH- SILVER FISH 8-10CM 10X1KG/CTNS,46.0,2023-02-01 - 2023-08-30,9.5,9.5,2023-02-01 - 2023-08-30,2023-08-28,10.88,12.0
FSS004,FISH- SLIVER SILLAGO 15/25 10kg,0.0,2021-08-01 - 2023-08-30,4.0,4.0,2023-02-01 - 2023-08-30,2023-03-16,7.0,7.0
FSS005,FISH- SLIVER SILLAGO 25/40 10kg,0.0,2021-08-01 - 2023-08-30,4.0,4.0,2021-08-01 - 2023-08-30,2022-02-09,5.8,6.0
FSS007,FISH- ANCHOVY MEAT - DRY 1KG/PKT,5.0,2023-02-01 - 2023-08-30,15.5,15.5,2023-02-01 - 2023-08-30,2023-07-19,18.5,18.5
FTI002,FISH- FRESH RED TILAPIA,0.0,2023-02-01 - 2023-08-30,5.5,7.0,2023-02-01 - 2023-08-30,2023-07-19,7.8,8.5
FTI003,FISH- RED TILAPIA FILLET 10kg/ctns,4661.82,2023-02-01 - 2023-08-30,3.79,4.2,2023-02-01 - 2023-08-30,2023-08-29,6.0,6.3
FTI004,FISH- BLACK TILAPIA GGS 300/500 10KG/CTNS,4669.7,,,,2023-02-01 - 2023-08-30,2023-08-26,2.8,3.2
FTN002,FISH- FRESH TUNA (INDONESIA MAGURO),0.0,2023-02-01 - 2023-08-30,22.0,22.0,2023-02-01 - 2023-08-30,2023-08-25,26.0,500.0
FTN005,FISH- FRESH TUNA (PASAR),0.0,2023-02-01 - 2023-08-30,5.0,5.0,2023-02-01 - 2023-08-30,2023-05-29,6.0,6.0
FUN001,UNAGI KABAYAKI IN SMALL BREAK PCS 500GM/PKT,0.0,2021-08-01 - 2023-08-30,5.5,5.5,2021-08-01 - 2023-08-30,2021-09-05,6.8,6.8
FUN002,UNAGI KABAYAKI 200GMX50PCS 10KG/CTNS (IWP-PACKING),85.4,2023-02-01 - 2023-08-30,27.5,27.5,2023-02-01 - 2023-08-30,2023-06-27,28.0,35.0
FUN003,UNAGI KABAYAKI 250GM/PKT ** 50PCS,117.0,2023-02-01 - 2023-08-30,5.5,5.5,2023-02-01 - 2023-08-30,2023-08-23,9.38,13.89
FYC001,FISH- SMALL YELLOW CROAKER 12PKT/CTNS,0.0,2021-08-01 - 2023-08-30,5.5,10.5,2021-08-01 - 2023-08-30,2022-11-23,7.5,12.8
FYC001-01,FISH- YELLOW CROAKER 400-500GM,0.0,2023-02-01 - 2023-08-30,8.8,8.8,2023-02-01 - 2023-08-30,2023-07-16,10.35,10.8
FYT001,FISH- YELLOW TAIL 9KG/CTNS,0.0,2021-08-01 - 2023-08-30,5.0,5.0,2021-08-01 - 2023-08-30,2022-12-06,6.0,6.0
FYT003-01,FISH- FRESH TAIXING WR (1-1.6 KG),0.0,2023-02-01 - 2023-08-30,22.0,26.5,2023-02-01 - 2023-08-30,2023-07-19,30.0,30.0
GOOS01,GOOSE WHOLE WITH GIBLETS IWP 3.6KG (HUNGARIAN),0.0,2021-08-01 - 2023-08-30,8.17,34.0,2021-08-01 - 2023-08-30,2022-12-12,34.01,40.0
MBL001,MUTTON BONELESS LEG FINE-AUST,0.0,2023-02-01 - 2023-08-30,8.2,9.5,2023-02-01 - 2023-08-30,2023-07-21,9.15,9.15
MBL001-01,MUTTON BONELESS LEG (FLETCHER/MIDFIELD -AUST),1057.83,2023-02-01 - 2023-08-30,8.2,9.9,2023-02-01 - 2023-08-30,2023-08-28,12.15,15.8
MBL001-02,MUTTON BONELESS LEG CUT 1INCH X 1INCH,0.0,2021-08-01 - 2023-08-30,12.3,12.3,2023-02-01 - 2023-08-30,2023-07-29,12.5,13.5
MBL002,MUTTON BONELESS LEG CROSS CUT,0.0,2021-08-01 - 2023-08-30,10.4,10.4,2023-02-01 - 2023-08-30,2023-06-24,12.0,12.0
MBL002-02,MUTTON BONELESS LEG CUT 2,0.0,,,,2023-02-01 - 2023-08-30,2023-06-23,14.0,14.0
MBL003,LAMB SHOULDER B/LESS OYSTER TUBED,186.38,2023-02-01 - 2023-08-30,12.5,16.5,2023-02-01 - 2023-08-30,2023-08-29,16.31,19.0
MBL003-01,LAMB SHOULDER B/LESS OYSTER TUBED CUT 2,0.0,,,,2023-02-01 - 2023-08-30,2023-06-27,18.5,18.5
MBL003-03,LAMB SHOULDER BONE IN OYSTER CUT GMP,21.85,2023-02-01 - 2023-08-30,9.9,12.0,2023-02-01 - 2023-08-30,2023-08-11,14.5,15.0
MBL004,LAMB SHOULDER BONELESS AUST,151.74,2023-02-01 - 2023-08-30,11.4,11.6,2023-02-01 - 2023-08-30,2023-08-07,14.0,14.0
MBL004-02,LAMB BONELESS LEG (AUST-WOODWARD/MIDFIELD),134.7,2023-02-01 - 2023-08-30,10.0,10.9,2023-02-01 - 2023-08-30,2023-08-29,16.25,18.0
MBL005,LAMB BONELESS LEG CUT 2,0.0,2021-08-01 - 2023-08-30,11.5,11.5,2023-02-01 - 2023-08-30,2023-06-19,15.9,15.9
MCA001,MUTTON CARCASE (FLETCHER) 6WAY CUT,0.0,,,,2021-08-01 - 2023-08-30,2021-09-13,7.9,7.9
MCA003,RAM CARCASE (WOODWARD-AUST),10.0,2023-02-01 - 2023-08-30,9.5,9.5,2023-02-01 - 2023-08-30,2023-05-26,15.0,15.0
MCA006,MUTTON CARCASE,362.22,2023-02-01 - 2023-08-30,6.2,10.5,2023-02-01 - 2023-08-30,2023-06-28,16.5,16.5
MCB001,MUTTON CUBE BONE IN 5kgX2pkt,0.0,2023-02-01 - 2023-08-30,7.4,9.0,2023-02-01 - 2023-08-30,2023-08-29,8.2,9.5
MCU001,MUTTON CUBE 5kgX2pkt,34.4,2023-02-01 - 2023-08-30,11.5,13.0,2023-02-01 - 2023-08-30,2023-08-28,13.5,16.0
MCU002,MUTTON LEG CUT CUBE 5KG/PKT,0.0,2021-08-01 - 2023-08-30,8.0,8.0,2023-02-01 - 2023-08-30,2023-07-28,13.0,13.0
MCU004,MUTTON CUBE (TFP) 500gmX20pkt,0.0,2021-08-01 - 2023-08-30,6.5,7.0,2021-08-01 - 2023-08-30,2022-08-10,9.6,9.6
MCU005,MUTTON CUBE BONE IN,0.0,2021-08-01 - 2023-08-30,10.4,10.4,2021-08-01 - 2023-08-30,2022-09-09,5.0,12.8
MECHICKEN02,MARINATE CHICKEN CUBE 2KG/PKT,0.0,2021-08-01 - 2023-08-30,4.9,4.9,2021-08-01 - 2023-08-30,2021-10-28,6.5,6.5
MECHICKEN03,MARINATE CHICKEN MID JOINT 5KG/PKT,0.0,2023-02-01 - 2023-08-30,7.8,7.8,2023-02-01 - 2023-08-30,2023-06-30,9.3,9.3
MECHICKEN03-02,MARINATE CHICKEN MID JOINT 400GM/TRAY,43.0,,,,2023-02-01 - 2023-08-30,2023-08-29,6.94,8.24
MECHICKEN04,MARINATE CHICKEN BONELESS LEG 2.50KG/PKT **WESTERN**,10.0,,,,2021-08-01 - 2023-08-30,2023-01-04,6.0,6.0
MECHICKEN05,CAJUN SPICE CHICKEN BONELESS LEG 1PCS/PKT,8.0,,,,2023-02-01 - 2023-08-30,2023-08-25,2.0,3.71
MECHICKEN09,HONEY GARLIC CHICKEN BONELESS LEG 1PCS/PKT,0.0,,,,2021-08-01 - 2023-08-30,2021-08-03,1.5,1.5
MECHICKEN10,CRISPY MARINATE CHICKEN WHOLE LEG 15KG/CTNS,0.0,2021-08-01 - 2023-08-30,36.75,36.75,2021-08-01 - 2023-08-30,2021-12-30,54.0,54.0
MECHICKEN11,MARINATE CHICKEN BONELESS LEG **THAI**,33.0,,,,2021-08-01 - 2023-08-30,2022-09-08,6.0,6.0
MEPORK01,MARINATE PORK BELLY,0.0,2023-02-01 - 2023-08-30,5.7,5.7,2023-02-01 - 2023-08-30,2023-08-15,7.0,7.0
MEPORK02,MARINATE PORK SLICED 5kg/pkt,0.0,2021-08-01 - 2023-08-30,5.1,5.1,2021-08-01 - 2023-08-30,2021-10-28,7.0,7.0
MEPORK02-02,MARINATE PORK SLICED UF 2kg/pkt,0.0,,,,2023-02-01 - 2023-08-30,2023-03-28,5.5,5.5
MEPORK03,MARINATE PORK CUBE 5kg/pkt,0.0,2021-08-01 - 2023-08-30,5.1,5.1,2021-08-01 - 2023-08-30,2021-10-28,7.0,7.0
MFA001,MUTTON FAT,0.0,2023-02-01 - 2023-08-30,3.3,3.3,2023-02-01 - 2023-08-30,2023-07-29,3.6,5.0
MFL001,MUTTON- LAMB FLAP BONE IN (GMP),444.79,2023-02-01 - 2023-08-30,7.6,7.8,2023-02-01 - 2023-08-30,2023-08-25,9.9,12.5
MFL002,MUTTON- LAMB FLAP BONE IN - SWIFT 20KG/CTNS,0.0,2021-08-01 - 2023-08-30,6.4,9.4,2021-08-01 - 2023-08-30,2022-11-07,9.0,11.5
