pdt_code,pdt_name,current_inv,purchases_data_date_range,purchases_min_price,purchases_max_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_min_price,sales_max_price
PREC01,PORK RECTUMS CUT,0.0,2021-10-01 - 2023-10-03,6.6,6.6,2023-04-01 - 2023-10-03,2023-09-29,7.3,7.3,7.3
PREC02,PORK RECTUMS (EXCELENCIA-BRAZIL) 16KG/CTNS,0.0,2023-04-01 - 2023-10-03,3.62,3.62,2023-04-01 - 2023-10-03,2023-05-16,7.0,5.8,9.2
PREC03,PORK COOKED RECTUMS 4X4KG/CTNS (BROWN BOX),0.0,2023-04-01 - 2023-10-03,6.3,6.3,2023-04-01 - 2023-10-03,2023-09-22,7.28,6.5,10.0
PREC04,PORK RECTUMS TICAN 10kg/ctns,3530.0,2023-04-01 - 2023-10-03,7.0,7.43,2023-04-01 - 2023-10-03,2023-10-03,8.94,8.05,10.0
PREC05,PORK RECTUMS (ICC-IRELAND) 10kg/ctns,0.0,2021-10-01 - 2023-10-03,5.5,8.0,2023-04-01 - 2023-10-03,2023-04-22,9.0,8.2,10.0
PREC06,PORK COOKED RECTUMS (LA POMPEYA) 10KG/CTNS,0.0,2023-04-01 - 2023-10-03,5.8,5.8,2023-04-01 - 2023-10-03,2023-07-05,7.5,6.3,7.5
PREC07,PORK RECTUMS (SB PORK-DENMARK) 10kg/ctns,0.0,2023-04-01 - 2023-10-03,8.2,8.2,2023-04-01 - 2023-10-03,2023-08-17,9.0,8.05,10.0
PREC08,PORK RECTUMS (SWIFT-USA),0.0,2023-04-01 - 2023-10-03,7.8,7.8,2023-04-01 - 2023-10-03,2023-09-18,9.33,9.0,9.5
PREC09,PORK RECTUMS (DANEPORK-DENMARK),14880.0,,,,2023-04-01 - 2023-10-03,2023-09-28,8.3,8.3,8.3
PRIB01,PORK MEATY RIBLETS (KEKEN-MEXICO) 15KG/CTNS,9282.0,2023-04-01 - 2023-10-03,3.95,4.45,2023-04-01 - 2023-10-03,2023-10-03,4.97,4.2,5.7
PRIB01-02,PORK MEATY RIBLETS (SULINA) 15kg/ctn,1998.0,2023-04-01 - 2023-10-03,2.7,4.5,2023-04-01 - 2023-10-03,2023-10-02,5.0,2.9,5.8
PRIB01-03,PORK MEATY RIBLETS (SULINA-3975) 15kg/ctn,0.0,2023-04-01 - 2023-10-03,4.2,4.7,2023-04-01 - 2023-10-03,2023-08-11,5.8,4.5,5.8
PRIB01-04,PORK MEALTY RIBLETS (JOBSTL-AUSTRIA),0.0,2023-04-01 - 2023-10-03,4.5,4.5,2023-04-01 - 2023-10-03,2023-05-02,5.0,5.0,5.0
PRIB01-06,PORK MEALTY RIBLETS (ALIBEM),0.0,2021-10-01 - 2023-10-03,1.9,2.6,2021-10-01 - 2023-10-03,2022-08-10,2.1,2.1,3.6
PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,0.0,2023-04-01 - 2023-10-03,4.75,4.75,2023-04-01 - 2023-10-03,2023-05-05,5.8,4.0,5.8
PRIB01-11,PORK MEALTY RIBLETS (CARNICAS TONI JOSEP-SPAIN) 10KG/CTNS,0.0,,,,2021-10-01 - 2023-10-03,2021-12-30,5.55,5.3,5.8
PRIB01-13,PORK MEALTY RIBLETS (AURORA) 10kg/ctn,0.0,2021-10-01 - 2023-10-03,3.72,4.6,2021-10-01 - 2023-10-03,2022-11-11,4.8,3.9,5.2
